	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
293	0	 (Recalfed) Leslie G.	 February 1, 1991	N / A	N / A	 Assistant District Attorney, Office of the District Attorney,	N / A	 Buffalo Partner, Cohen Swados Wright Hanifin Bradford & Brett (1978-1981)	 American Bar Foundation, American Bar Association; Bar Association of Erie County; Federal Magistrate Judges Association; New York Bar Foundation, The New York State Bar Association 
329	1	 (part-time) Alice R.	 November 15, 1990	N / A	N / A	N / A	N / A	N / A	N / A
138	2	 (part-time) Anthony R. Mautone	N / A	N / A	N / A	N / A	N / A	N / A	 The Seton Hall Alumni American Inn of Court, The American Inns of Court; Essex County Bar Association; Federal Bar Association; New Jersey State Bar Association 
136	3	 (part-time) Edward R.	 December 1, 1976	N / A	N / A	N / A	 Judge, Margate City Municipal Court (1977-1981)	 Fox, Rothschild, et al. (1976) Military Service: United States Air Force (1943-1945)	 New Jersey State Bar Association; State Bar of _. Wisconsin . ,
67	4	 (part-time) Gerard M.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
164	5	 (part-time) Kea Riggs	N / A	N / A	N / A	N / A	N / A	N / A	N / A
221	6	 (part-time) Larry A,	 January 24, 2002	N / A	N / A	 Assistant County Attorney, Office of the County Attorney,	N / A	 Larry A. Kudrle, Esq. Law Guardian Office Military Service: Lt. Colonel, United States Air Force (1974-1994)	 Clinton County Bar Association 
273	7	 (part-time) Martin R.	 1992	N / A	N / A	 Chief Assistant District Attorney, Office of the District	N / A	 Private Practice	N / A
0	8	 (part-time) Mary Kay	 January 3, 2003 .	N / A	N / A	N / A	N / A	N / A	N / A
163	9	 (part-time) Robert W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
137	10	 (part-time} Anthony R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
350	11	 (recalled) David S.	 September 14, 1979	N / A	N / A	N / A	N / A	N / A	N / A
165	12	 (recalled) Don J. Svet_	 1993	N / A	N / A	N / A	N / A	N / A	N / A
