	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
120	0		 1985	 President Ronald Reagan	N / A	 County Attorney, Office of the County Attorney, County of Duchesne, Utah (1966-1972); County Cornmissioner, Office of the County Commissioner, County of Duchesne, Utah (1972-1974)	 Judge, Utah District Court, Fourth Judicial District (976-1985)	 Private Practice (1963-1971); Sam & Mangan (1971-1973), Sam, Brown & Park (1973-1976) Military Service: United States Air Force (1961-1963)	 Federal District Court Judges Association; The Supreme Court Historical Society; Utah State Bar
85	1	 (part-time) David W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
84	2	 (part-time) Dean By	N / A	N / A	N / A	N / A	N / A	N / A	N / A
132	3	 (part-time) James K.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
114	4	 (part-time) Jamés R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
131	5	 (part-time) Karen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
134	6	 (part-time) Teresa M.	 July 2006	 President George W. Bush —	N / A	N / A	N / A	N / A	N / A
115	7	 (recalled) Aaron E.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
174	8	 (recalled) Geoffrey yw	N / A	N / A	N / A	N / A	N / A	N / A	N / A
67	9	 (recalled) John A.	 1987	N / A	N / A	N / A	N / A	N / A	N / A
86	10	 (recalled) John L. -	N / A	N / A	N / A	N / A	N / A	N / A	N / A
35	11	 (recalled) William T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
158	12	 Aida M. Delgado-Colén	N / A	N / A	N / A	N / A	N / A	N / A	N / A
127	13	 Alan B. Johnson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
221	14	 Alan G. Lance, Sr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
149	15	 Alan Kay	 1991	N / A	N / A	 Public Defender, District of Columbia (1960-1962); Assistant	N / A	N / A	 The American Inns of Court; The District of Columbia Bar; National Conference of Bar Examiners; The Virginia Bar Association
209	16	 Andrew S. Effron _	 1996	 President William J. Clinton	N / A	 Legislative Aide (R-WI, District 6}, Office.of Representative	N / A	N / A	N / A
22	17	 Anthony John Trenga	 October 15, 2008	 President George W. Bush	N / A	N / A	N / A	 Chair, Litigation/Government Contracts Department, Miller	N / A
