	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
31	0		Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
348	1	 (half-time) Larry A.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
258	2	 (part-time) David L.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
15	3	 (part-time) Leslie	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
16	4	 (part-time) Matthew D.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
132	5	 (part-time) Rita C.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
48	6	 (part-time} James FE	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
337	7	 (recailed) Alexander |. Paskay continueg	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
336	8	 (recalled) Alexander	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
178	9	 (recalled) David E.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
18	10	 (recalled) Herbert A.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
76	11	 (recalled) James G.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
14	12	 (recalled) John D.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
386	13	 (recalled) Peter R.	Began Service: February 2, 2004	N / A	N / A	N / A	N / A	N / A	Current Memberships: Alabama State Bar; State Bar of Georgia. Staff : Law Clerk Danielle Dillard ...........0...000.,..008. (251) 694-4548 Began Service: 2007 Term Expires: October 2010 E-mail: danielle_dillard@alsduscourts.gov Career Law Cierk Rosemary Cole............:....... (251) 694-4545
