	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
99	0		 April 10, 2000	N / A	N / A	 Assistant U.S. Trustee for the Western District of New York	N / A	 Partner, Lawrence, Werner, Kesselring, Swartout & Brown, LLP; In-house Counsel, The Canandaigua National Bank and Trust Company	 American Bar Association; National Conference of Bankruptcy Judges Staft Law Clerk Jonathan B. Knisley..................... (802) 776-2030 Began Service: 2010 Term Expires: 2011 E-mail: lawclerks@yvtb.uscourts. gov Law Clerk Ashley Mauldin ............-.¢0¢000c0uue (802) 776-2030 Began Service: 2010 ‘Ferm Expires: 2012 E-mail: lawelerks@vtb,uscourts.gov Courtroom Deputy Terri A. Satterlee ............8., (802) 776-2010 Education: Vermont 1980 BA Fax: (802) 776-2026 Judicial Assistant (Vacant) 20.0.0... cece lee (802) 776-2030 United States District Court for the Eastern District of Virginia Albert V. Bryan Sr. US. Courthouse, 401 Courthouse Square, Alexandria, VA 22314-5798 Tet: (703) 299-2100 Tel: (800) 852-5186 (PACER) Fax: (703) 299-2109 Internet: www.vaed.uscourts.gov Number of Judgeships: 1! Number of Vacancies: 2 Areas Covered: Counties of Accomack, Amelia, Arlington, Brunswick, Caroline, Charles City, Chesterfield, Dinwiddie, Essex, Fairfax, Fauquier, Gloucester, Goochland, Greensville, Hanover, Henrico, Isle of Wight, James City, King and Queen, King George, King William, Lancaster, Loudoun, Lunenburg, Mathews, Mecklenburg, Middlesex, New Kent, Northampton, Northumberland, Nottoway, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Southampton, Spotsylvania, 
66	1	 (part-time) Dean Brett	N / A	N / A	N / A	N / A	N / A	N / A	N / A
96	2	 (part-time) James R.	 Decernber 1991	N / A	N / A	N / A	N / A	N / A	 The American Trial Lawyers Association; Brown County Bar Association (WI)
39	3	 (part-time) James a	 November 16, 2004	N / A	N / A	N / A	N / A	N / A	N / A
115	4	 (part-time) Karen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
118	5	 (part-time) Tere 2 angela, caesar@:ded.uscourls.gov	 July 2006 aty Chief Probation Officer Shari McCoy........... (202) 565-1348	 President George W. Bush 7 Fax: (202) 273-0193	N / A	N / A	N / A	N / A	N / A
117	6	 (part-time} R.	 January 23, 2004	N / A	N / A	N / A	N / A	N / A	N / A
26	7	 (recailed) William T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
97	8	 (recalled) Aaron E.	 November 1, 1979	N / A	N / A	N / A	N / A	 Chernov, Croen and Goodstein (1968-1979)	 American Bar Association; The Seventh Circuit Bar Association, Federal Bar Association; Federal Magistrate Judges j Association; Milwaukee Bar Association; State Bar of Wisconsin FEDERAL COURTS—UNITED STATES DISTRICT COURTS 
163	9	 (recalled) Geoffrey W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
68	10	 (recalled) J. Kelley	 October 28, 1994	N / A	N / A	N / A	 Judge, Washington Superior Court, Pierce County (1982-1994)	 Partner, McCormick, Hoffman, Rees, Arnold & Faubion (1965-1982) Military Service: United States Arnry (1961-1963)	 American Bar Association; The American Inns of Court; Federal Magistrate Judges Association; Tacoma-Pierce County Bar Association; Washington State Bar Association 
52	11	 (recalled) John A.	 1987	N / A	N / A	N / A	N / A	N / A	N / A
73	12	 (recalled) Philip H.	 Octeber 11, 1991	N / A	N / A	 Attorney, United States Department of Justice (1972); Attorney, Federal Maritime Commission (1972-1973); Deputy Prosecuting Attomey, Office of the Prosecuting Attorney, County of Pierce, Washington (1973-1975); Director, Standards Project, Washington Governor’s Committee on Law and Justice (1975-1976)	 Chief Judge of the Bankruptcy Appellate Panel, United States : RO. Box 471, Wheeling, WV 26003 Fax: (304) 264-0434 Bankruptcy Appellate Panel for the Ninth Circuit Financial Administrator Evelyn Howell................ (304) 636-1445	 Deere, Simonarson et al. (1976-1986); Attorney, Graham. o ore. Box 1518, Elkins, WV 26241 Fax: (304) 636-5746 Bon ne one [See rere Bima cn 0 sz Military Service: United States Navy (1966-1969); United States Naval Court Reporter Sue Hatley nnn 4804) 614.3694 Reserve (1969-1989) Court Reporter Jennifer Vail-Kirkbride................ (304) 233-0661	 American Bar Association; King County Bar Association; National Conference of Bankruptcy Judges: Tacoma-Pierce County Bar Association; Washington State Bar Association
147	13	 Aida M. Delgado-Colén	 March 20, 2006	 President George W. Bush	N / A	N / A	 Magistrate Judge, United States District Court for the District of	N / A	 American Bar Association; Association of _t Magistrate Judges; Federal Bar Association; Puerto Rico Chapter, Federal Bar Association; National Association of Women Judges; National Hispanic Bar Association
108	14	 Alan B. Johnson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
110	15	 Alan B. Johnson consinued	N / A	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Laramie County Bar Association; Wyoming Bar Association
207	16	 Alan G. Lance, Sr.	 2004	 President George W. Bush	N / A	 Representative, Idaho House of Representatives, Majority	N / A	N / A	N / A
139	17	 Alan Kay	N / A	N / A	N / A	N / A	N / A	N / A	N / A
143	18	 Alex R. Munson	 November 14, 1988	 President Ronald Reagan	N / A	N / A	 Chief Justice of the High Court, Trust Territory of the Pacific Islands (1982-1993)	 Robert S. Talbert and Associates (1977- 1978): Kirtland & Packard (1978-1982)	 Americar Bar Association; State Bar of California 
132	19	 Amy Berman Jackson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
198	20	 Andrew S. Effron	 1996	 President William J. Clinton	N / A	 Legislative Aide (R- WI, District 6), Office of Representatiy,	N / A	N / A	N / A
9	21	 Anthony John Trenga	 Gotaber 15, 2008	 President George W. Bush	N / A	N / A	N / A	 Chair, Litigation/Government Contracts Department, Mille	N / A
230	22	 Arthur L. Nims Ill	N / A	N / A	N / A	N / A	N / A	N / A	N / A
36	23	 B. Waugh Crigler	N / A	N / A	N / A	N / A	N / A	N / A	N / A
105	24	 Barbara Brandriff Crabb	 November 26, 1979	 President Jimmy Carter	N / A	N / A	 Magistrate Judge, United States District Court for the Western District of Wisconsin (1971-1979)	 Associate, Roberts, Boardman, Suhr, Bjork & Curry (1962-1964)	 American Bar Association; The James E. Doyle American Inn of Court, The American Inns of Court; Dane County Bar Association; National Association of Women Judges; State Bar of Wisconsin
54	25	 Barbara J. Rothstein	N / A	N / A	N / A	N / A	N / A	N / A	N / A
56	26	 Benjamin Hale Settle	N / A	N / A	N / A	N / A	N / A	N / A	N / A
128	27	 Beryl Alaine Howell ;	 December 27, 2010	 President Barack Gbama	N / A	N / A	N / A	N / A	N / A
186	28	 Bohdan A. Futey.	N / A	 President Ronald Reagan	N / A	 Chief Assistant Police Prosecutor, Department of Law, City	N / A	 Partner, Futey & Rakowsky (1968-1972); Partner, Bazarko, Futey & Oryshkewych (1975-1984) Nonprofit: Advisor, International Republican Institute	 The District of Columbia Bar Membership: Member, Ukrainian American Bar Association
160	29	 Brian K. Tester	 November 2006	N / A	N / A	N / A	N / A	N / A	N / A
63	30	 Brian Tsuchida	N / A	N / A	N / A	N / A	N / A	N / A	N / A
205	31	 Bruce E. Kasold	N / A	N / A	N / A	N / A	N / A	N / A	N / A
154	32	 Bruce J. McGiverin	N / A	N / A	N / A	N / A	N / A	N / A	N / A
153	33	 Camille L. Velez-Rive	N / A	N / A	N / A	N / A	N / A	N / A	N / A
145	34	 Carmen Consuelo Cerezo	N / A	N / A	N / A	N / A	N / A	N / A	N / A
236	35	 Carolyn P. Chiechi	N / A	N / A	N / A	N / A	N / A	N / A	N / A
60	36	 Carolyn R. Dimmick	N / A	N / A	N / A	N / A	N / A	N / A	N / A
176	37	 Charles F Lettow	 July 22, 2003	 President George W. Bush	N / A	 Counsel, Council on Environmentai Quality, Executive Office	N / A	 Associate, Cleary Gottlieb Steen & Hamilton LLP (1973-1976); Partner, Cleary Gottlieb Steen & Hamilton LLP (1976-2003) Military Service: Second Lieutenant, First Lieutenant United States Army (1963-1965); CPT, United States Army Reserve (1965-1972)	 American Bar Association, The American Law Institute; The District of Colurnbia Bar; Iowa State Bar Association; Maryland State Bar Association, Inc.; State Bar of California
89	38	 Charles N. Clevert, Jr.	N / A	 President William J. Clinton	N / A	 Assistant District Attorney, County of Milwaukee, Wisconsin {1972-1975}; Assistant United States Attorney, Eastern District of Wisconsin, United States Department of Justice (1975-1977); Special Assistant United States Attorney, Northern District of ILmois, United States Department of Justice (1977)	 Bankruptcy Judge, United States Bankrapiey. Court for the Eastern	N / A	 National Conference of Federal Trial Judges, American Bar Association; The Seventh Circuit Bar Association, Federal Bar Association; Federal Judges Association; State Bar of Wisconsin; Wisconsin Association of African-American Lawyers
256	39	 Charles R. Breyer, '	N / A	N / A	N / A	N / A	N / A	N / A	N / A
87	40	 Chery! A. Eifert	 2010	N / A	N / A	N / A	N / A	N / A	N / A
112	41	 Clarence A. Brimmer	 September 26, 1975	 President Gerald Ford	N / A	 Attorney General, State of Wyoming (1971-1974); United States Attorney, District of Wyoming, United States Department of Justice (1975)	 Judge, Municipal Court (1948-1954); District Judge, United States District Court for the District of Wyoming (1975-2006)	 Private Practice (1948-1971) Military Serviee: United States Army Air Corps (1945-1946)	 American Bar Association; Federal Judges Association; Wyoming Bar Association 
0	42	 Colleen A. Brown	 April 10, 2000	N / A	N / A	 Assistant U.S. Trustee for the Western District of New York	N / A	 Partner, Lawrence, Werner, Kesselring, Swartout & Brown, LLP; In-house Counsel, The Canandaigua National Bank and Trust Company	 American Bar Association; National Conference of Bankruptcy Judges Staft Law Clerk Jonathan B. Knisley..................... (802) 776-2030 Began Service: 2010 Term Expires: 2011 E-mail: lawclerks@yvtb.uscourts. gov Law Clerk Ashley Mauldin ............-.¢0¢000c0uue (802) 776-2030 Began Service: 2010 ‘Ferm Expires: 2012 E-mail: lawelerks@vtb,uscourts.gov Courtroom Deputy Terri A. Satterlee ............8., (802) 776-2010 Education: Vermont 1980 BA Fax: (802) 776-2026 Judicial Assistant (Vacant) 20.0.0... cece lee (802) 776-2030 United States District Court for the Eastern District of Virginia Albert V. Bryan Sr. US. Courthouse, 401 Courthouse Square, Alexandria, VA 22314-5798 Tet: (703) 299-2100 Tel: (800) 852-5186 (PACER) Fax: (703) 299-2109 Internet: www.vaed.uscourts.gov Number of Judgeships: 1! Number of Vacancies: 2 Areas Covered: Counties of Accomack, Amelia, Arlington, Brunswick, Caroline, Charles City, Chesterfield, Dinwiddie, Essex, Fairfax, Fauquier, Gloucester, Goochland, Greensville, Hanover, Henrico, Isle of Wight, James City, King and Queen, King George, King William, Lancaster, Loudoun, Lunenburg, Mathews, Mecklenburg, Middlesex, New Kent, Northampton, Northumberland, Nottoway, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Southampton, Spotsylvania, 
121	43	 Colleen Kollar-Kotelly	N / A	N / A	N / A	N / A	N / A	N / A	N / A
164	44	 Curtis V. Gomez	 January 3, 2005	 President George W. Bush	N / A	N / A	N / A	N / A	 Virgin Islands Bar Association 
86	45	 David A. Faber	 December 27, 1991	 President George H.W. Bush	N / A	N / A	N / A	N / A	N / A
210	46	 David D. Dowd, Ir.,	N / A	N / A	N / A	N / A	N / A	N / A	N / A
225	47	 David D. Gustafson	 July 29, 2008	 President George W. Bush	N / A	N / A	N / A	N / A	 The District of Columbia Bar
79	48	 David J. Joel	 August 1, 2008	N / A	N / A	N / A	N / A	N / A	 West Virginia Bar Association; The West Virgini United States District Court for the Southern District of West Virginia 523 aca of Chief Bankruptcy Judge Patrick M. sapline Streets, Wheeling, WV 26003 233-265 5 ack James Voithofer .. 3.0.0... (304) 233-1655 raw Clerk Ryan Johnson .............. 5 mene (304) 233-1655 roora Deputy Lisa McNeil..............000. 6, (304) 233-1655 Te ‘ad States District Court for the hern District of West Virginia C: Byrd US. Courthouse, 300 Virginia Street East, (009; Charleston, WV 25301 (4) 347-3000 Fax: (304) 347-3007 jet: Www. Wvsd.uscourts. gov ber of Judgeships: 5 aS Covered: Counties of Boone, Cabell, Clay, Fayette, Greenbrier, on, Kanawha, Lincoln, Logan, Mason, McDowell, Mercer, Mingo, nroe, Nicholas, Putnam, Raleigh, Roane, Summers, Wayne, Wirt, Wood id: Wyoming ourt 
