	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
114	0	 (half-time) Mark A.	 February 1, [993	N / A	N / A	 Assistant Attorney General, State of South Dakota	N / A	N / A	 Nebraska State Bar Association; State Bar of South Dakota
259	1	 (part-time) Clark B.	 January 1, 1997	N / A	N / A	N / A	N / A	N / A	N / A
342	2	 (part-time) David J.	 October 9, 2001	N / A	N / A	N / A	N / A	 Private Practice - Litigation Military Service: United States Marine Corps	 West Virginia Bar Association; West Virginia State Bar 
258	3	 (part-time) F Bennion	N / A	N / A	N / A	N / A	N / A	N / A	N / A
333	4	 (part-time) Gilbert H.	 March 24, 1979	N / A	N / A	N / A	N / A	 Gilbert H. Kleweno, PLLC	 Clark County Bar Association; Phi Alpha Delta Legal Fraternity; Washington State Bar Association
334	5	 (part-time) Ira J. Uhrig	N / A	N / A	N / A	N / A	N / A	N / A	N / A
78	6	 (part-time) Keith A.	 1994	N / A	N / A	N / A	N / A	N / A	N / A
115	7	 (part-time) Myles	 January 2001	N / A	N / A	N / A	N / A	N / A	N / A
101	8	 (part-time) Robert L.	N / A	N / A	N / A	N / A	N / A	 Private Practice (1973-1978)	N / A
260	9	 (part-time) Robert T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
59	10	 (part-time} William H.	 June 21, 1971	N / A	N / A	 United States Commissioner (1964-1971)	N / A	N / A	 American Bar Association; Federal Bar Association (Honorary); Federal Magistrate Judges Association; Lycoming Law Association; Pennsylvania Bar Association 
83	11	 (recalled) Bernard	N / A	N / A	N / A	N / A	N / A	N / A	N / A
87	12	 (recalled) Jacob Hagopian	 1971	N / A	N / A	 Code Committee Member, Uniform Code of Military Justice (2000-2003)	 Appellate Judge, United States Court of Military Review, Court of	N / A	 American Judges Association; Federal Bar Association, Chair, United States Magistrate Judges Committee; National Defense University Foundation; United States Naval War College . Foundation
318	13	 (recalled) Jahn M. Kiobucher Continued:	N / A	N / A	N / A	N / A	N / A	N / A	N / A
335	14	 (recalled) John L_	 October 1, 1973	N / A	N / A	N / A	N / A	 Perkins Coie (1968-1973)	 American Bar Association; American Judicature: Society; Federal Magistrate Judges Association; Seattle-King County Bay Association; Washington State Bar Association United States Bankruptcy Court for the Western District of Washington US. Courthouse, 700 Stewart Street, Seattle, WA 98101-1271 Tel: (206) 370-5200 Tel: (206) 370-5285 Tel: (800) 704-4492 (PACER) Tel: (888) 409-4662 (Toll free VCIS) Internet: www.wawb.uscourts.gav Number of Judgeships: 5
317	15	 (recalled) John M.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
84	16	 (recalled) Warren W.	 March 22, 1985	N / A	N / A	 Assistant Soiicitor (1967-1977); Borough Solicitor	N / A	 Private Practice (1954-1985) Military Service: United States Naval Reserve (1943-1946)	 American Bar Association; American Judicature Society; Erie County Bar Association; Pennsylvania Bar Association 
289	17	 (recalled) William TF.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
164	18	 A. Joe Fish	 March 11, 1983	 President Ronald Reagan	N / A	N / A	 Judge, Texas District Court, 95th Judicial District (1980-1981); Judge, Texas Court of Appeals, Fifth District (1981-1983)	 McKenzie & Baer (1968-1980) Military Service: United States Army Reserve (1968-1974)	 American Bar Association; Dallas Bar Association; State Bar of Texas
47	19	 A. Richard Caputo	 December 15, 1997	 President William J. Clinton	N / A	N / A	N / A	 Shea, Shea & Caputo (1968-1997) Military Service: United States Air Force (1963-1967) Nonprofit: Director and Secretary/Treasurer, The Luzerne Foundation (1994-1997)	 American Bar Association; Federal Bar Association; Luzerne County Law & Library Association; Pennsylvania Bar Association
210	20	 Adriana Arce-Flores	N / A	N / A	N / A	N / A	N / A	N / A	N / A
0	21	 Albert E.	 December 1983	N / A	N / A	N / A	N / A	 Private Practice (1973-1986) Military Service: United States Army (1967-1977)	 Lane County Bar Association; National Conference of Bankruptcy Judges; Oregon State Bar
132	22	 Aleta Arthur Trauger	 December 1, 1998	 President William J. Clinton	N / A	 Chief of Staff, Office of the Metropolitan Mayor, City of Nashville (1991-1992); Assistant United States Attorney, Middle District of Tennessee and Northern District of Illinois, Department of Justice (1977-1982); Legal Counsel, College of Charleston (1984-1985)	 Bankruptcy Judge, United States Bankruptcy Court for the Middle District of Tennessee (1993-1998)	 Associate, Barrett, Brandt & Barrett PC. (1976-1977): Associate, Hollins, Wagster & Yarbrough (1983-1984); Counsel & Partner, Wyatt, Tarrant, Combs, Gilbert & Milom (1985-1991)	 American Bar Association; American Bar Foundation; Corneli College Board of Trustees; Federal Judges Association; International Women’s Forum; Lawyers’ Association for Women-Marion Griffin Chapter; Nashville Bar Association; Nashville Bar Foundation; National Association of Women Judges; Tennessee Bar Association; Tennessee Bar Foundation; Tennessee Lawyers’ Association for Women; Vanderbilt University School of Law Alumni Board
226	23	 Alia M. Ludlum	N / A	N / A	N / A	N / A	N / A	N / A	N / A
75	24	 Amy Reynolds Hay	N / A	N / A	N / A	N / A	N / A	N / A	N / A
76	25	 Amy Reynolds Hay continyed	N / A	N / A	N / A	N / A	N / A	N / A	N / A
200	26	 Andrew S. Hanen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
35	27	 Arnold C. Rapong	 1975	N / A	N / A	 Assistant County Solicitor, Department of Human Servix	N / A	 Senior Partner, Perkin, Rapoport & Feldman (1975-199	 American Bar Association; Pennsylvania Bar Association ;
67	28	 Arthur J. Schwab	 January 1, 2003	 President George W. Bush	N / A	N / A	N / A	 Summer Law Clerk, Jones, Day, Reavis & Pogue (1971);	N / A
91	29	 Arthur N. Votolato	 Jume 25, 1968	N / A	N / A	 Chie? Special Counsel, Depariment of Public Works, State of: Rhode Island (1962-1968)	 Chief Judge, Member, First Circuit Bankruptcy Appellate Panel (1980-1983)	 Partner, Votolato & Votolato (1956-1962) Military Service: United States Marine Corps Reserve (1949-1950); United: States Air Force (1950-1951)	 Federal Bar Association; Rhode Island Bar Association 
207	30	 B. Janice Ellington	 November 14, 1996	N / A	N / A	N / A	N / A	N / A	N / A
301	31	 BE. Waugh Crigter	 October 1, 1981	N / A	N / A	N / A	N / A	 Private Practice (1974-1981}	 American Bar Association; Culpeper Bar Association; Tennessee Bar Association; Thomas Jefferson Inn of Court; Virginia Bar Association; Virginia State Bar
320	32	 Barbara Jacobs Rothstein	N / A	N / A	N / A	N / A	N / A	N / A	N / A
170	33	 Barbara M. G. Lynn	 February 14, 2000	 President William J. Clinton	N / A	N / A	N / A	 Attorney, Carrington Coleman Sloman & Blumenthal, LLP (1976-1999)	 American Bar Association, Litigation Section; American College of Trial Lawyers, Fellow; Patrick Higginbotham Inn of Court, Master; Southern Methodist University Law School, Executive Board; National Conference of Federal Trial Judges
174	34	 Barefoot Sanders	N / A	N / A	N / A	N / A	N / A	N / A	N / A
282	35	 Barry R. Poretz	 1992	N / A	N / A	N / A	N / A	N / A	N / A
11	36	 Berle M. Schiller	 June 6, 2006	 President William J. Clinton	N / A	 Deputy Director of Personnel, Commonwealth of Pennsylvania; Deputy, Narcetics Strike Force; Deputy Attorney General, Pennsylvania Department of Justice (1971-1972); Chief Counsel, Federal Transit Administration (1994-1996)	 Judge, Superior Court of Pennsylvania (1996-2000)	 Associate, Blank, Rome, Comisky, McCauley, LLP (1968-1969); Parmer, Astor, Weiss, Kaplan & Rosenblum (1972-1993} Military Service: Officer, United States Army Reserve (1968); Captain, Pennsylvania National Guard (1972)	 American Bar Association; National Conference of Federal Trial Judges, Executive Committee
163	37	 Brenda T. Rhoades	 September 1, 2003	N / A	N / A	N / A	N / A	N / A	N / A
104	38	" Bristow Marchant : Tis BR """	N / A	N / A	N / A	N / A	N / A	N / A	N / A
257	39	 Brooke C. Wells	 June 4, 2003	N / A	N / A	N / A	N / A	N / A	N / A
43	40	 Bruce I. Fox	 1986	N / A	N / A	N / A	N / A	N / A	N / A
251	41	 Bruce S. Jenkins	 1978	 President Timmy Carter	N / A	 Assistant Attorney General, State of Utah (1952); Deputy Prosecutor, Salt Lake County (1954-1958); Member (Minority Leader 1963, President 1965), Utah State Senate (1959-1965); Vice Chairman, Committee on the Organization of the Utah Executive Branch	 Bankruptcy Judge, United States Bankruptcy Court for the District of Utah (1965-1978)	 Private Practice (1959-1965) Military Service: United States Navy (1945-1946)	 American Bar Asscciation; American Bar Foundation; Bar of the United States Court of Appeals, Tenth Circuit; Bar of the United States District Court, District of Utah; Federal Bar Association; Federal Judges Association; United States Supreme Court Bar Association; Utah State Bar Association
202	42	 Calvin Botley	N / A	N / A	N / A	N / A	N / A	N / A	N / A
95	43	 Cameron McGowan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
96	44	 Cameron McGowan Cunie continyeg .	N / A	N / A	N / A	N / A	N / A	N / A	N / A
37	45	 Carol Sandra Moore	 June 3, 1996	N / A	N / A	 Senior Attorney, City of Philadelphia (1987-1996)	N / A	 Law Clerk/Office Manager, Nichols, Nichols, Clark & New Kirk (1978-1984); Litigation Associate, Pincus, Verlin, Hahn & Reich, PC. (1985-1987)	 Barristers’ Association; Federal Bar Association; Federal Magistrate Judge’s Association; National Association of Women Judges; Nationa! Bar Association, Women Lawyer’s Division; Philadelphia (215} 597-1207 Bar Association; Temple American Inn of Court (215) 597-1207
162	46	 Caroline M. Craven	 May 26, 1998	N / A	N / A	N / A	N / A	 Patton, Haltom, Roberts, McWilliams & Greer, LLP	N / A
327	47	 Carolyn R. Dimmick	 April 4, 1985	 President Ronald Reagan	N / A	 Assistant Attorney General, State of Washington (1953-1954); Deputy Prosecuting Attorney, King County, State of Washington (1955-1959)	 Fudge, Washington District Court, Northeast District (1965-197 Judge, Washington Superior Court, King County (1976-1980); Justice, .. Washington Supreme Court (1981-1985)	 Private Practice (1959-1960)	 American Bar Association; American Judges Association; American Judicature Society; National Association of Women Judges; Superior Court Judges Association; Washington State Bar Association :
109	48	 Charles B. Kornmann	 May 3, 1995	 President Wiliam J. Ciinton	N / A	 Policeman, United States Capitol Police (1959-1962),	N / A	 Associate then Partner, Richardson, Groseciose, Koromann:” & Wyly (1965-1995) Military Service: Captain, South Dakota National Guard (1963-1972)	 American Board of Trial Advocates; Brown, - County Bar Association; South Dakota State Bar Foundation; State Bar of. South Dakota :
36	49	 Charles B. Smith —	 June 1, 1992	N / A	N / A	 Juvenile Master and Mental Health Review Officer, Chester County (1976-19815	 Judge, Pennsylvania Court of Common Pleas, Chester County (#981-1992)	 Organizer and Executive Director, Legal Aid of Chester: County, Inc. (1970-1973); Senior Partner, Smith, Lachall, Brion, Fetter az Cohen . Military Service: United States Army, Judge Advocate General’s Corps (1965-1970); United States Army Reserve (1970-1990)	 Chester County Bar Association; Pennsylvania B Association
177	50	 Charles Bleil	 May 3, 1996	N / A	N / A	N / A	 Judge, Texas District Court (1978-1981); Judge, Texas Court of	N / A	N / A
354	51	 Charles N. Clevert, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
21	52	 Charles R. Weiner	 1967	 President Lyndon B. Johnson	N / A	 Assistant District Attorney, Commonwealth of Pennsylvania	N / A	 Private Practice (1951-1967) Military Service: United States Navy (1941-1945)	 American Bar Association; Pennsylvania Bar Association; Philadelphia Bar Association
50	53	 Christopher C. Conner	N / A	N / A	N / A	N / A	N / A	N / A	N / A
269	54	 Ciaude M. Hilton	 1985	 President Ronald Reagan	N / A	 Deputy Clerk of Courts (1964-1966); Assistant	N / A	 Private Practice (1967-1985)	 American Bar Association; American Judicature Society; Arlington County Bar Association; Association of Trial Lawyers of America; Virginia State Bar Association; Virginia Trial Lawyers Association
24	55	 Clarence C. Newcomer	 January 1971	 President Richard M. Nixon	N / A	 Special Deputy Attorney General (1953-1954); Assistant :	N / A	 Private Practice (1948-1957); Partner, Rohrer, Honamatt;	N / A
267	56	 Colleen A. Brown	 April 10, 2000	N / A	N / A	 Assistant U.S. Trustee for the Western District of New York	N / A	 Pariner, Lawrence, Werner, Kesselring, Swartout & Brown, LLP; In-house Counsel, Canandaigua National Bank and Trust Company	 American Bar Association; National Conference of Bankruptcy Judges 
117	57	 Curtis L. Collier	N / A	N / A	N / A	N / A	N / A	N / A	N / A
313	58	 Cynthia Imbrogno	 1991	N / A	N / A	 Civil Rights Staff Attorney, United States District Court for	N / A	 Perkins Coie (1990-1991); Preston, Thorgrimson, Shidier,	N / A
14	59	 Cynthia M. Rufe	 June 10, 2002	 President George W. Bush	N / A	 Assistant Public Defender, Bucks County Public Defender’ Office (1977-1982); Deputy Public Defender, Bucks County Public ~ Defender’s Office (1980-1981); Solicitor, Bucks County Children & You! Social Services Agency (1984-1988)	 Judge, Bucks County Court of Common Pleas (1994-2002)	N / A	N / A
344	60	 David A. Faber	 December 27, 1991	 President George H.W. Bush	N / A	 Special Assistant United States Attorney, Southern District	N / A	 Associate and Partner, Dayton Campbell & Love (and successor firms) (1967-1981); Partner, Spilman, Thomas, Battle & Klostermeyer (1987-1991} Mititary Service: United States Air Force (1968-1972); United States Ait ; Force Reserve (1973); United States Naval Reserve (1973-1978); West Virginia Air National Guard (1978-1992); United States Air Force Reserve: (1992-1998)	 American Judicature Society; Federal Judges Association; National Association of Former United States Attorneys; West Virginia Bar Association; West Virginia State Bar
224	61	 David Briones	N / A	N / A	N / A	N / A	N / A	N / A	N / A
171	62	 David C. Godbey	N / A	N / A	N / A	N / A	N / A	N / A	N / A
93	63	 David C. Norton	 July 13, 1990	 President George H.W. Bush	N / A	 Assistant Solicitor, Deputy Solicitor, Ninth Judicial Circuit	N / A	 Associate, Holmes & Thomson (1975-1977}; Partner, Holmes & Thomson (1980-1990) Military Service: United States Navy (1969-1972)	 Federal Judges Association; South Carolina Bar Association
152	64	 David Folsom	 April 14, 1995	 President William J, Clinton	N / A	N / A	N / A	 Associate, Young & Patton (1974-1976); Partner, Young, Patton & Folsom (1976-1990); Sole Practitioner (1990-1995)	 Arkansas Bar Association; Arkansas Trial Lawyers Association; Association of Trial Lawyers of America; Northeast Texas Bar Association; Southwest Arkansas Bar Association; Texarkana Bar Association; Texas Bar Association; Texas Trial Lawyers Association
290	65	 David H. Adams	 October 29, 1993	N / A	N / A	N / A	N / A	N / A	N / A
209	66	 David Hittner	N / A	N / A	N / A	N / A	N / A	N / A	N / A
252	67	 David K. Winder	N / A	N / A	N / A	N / A	N / A	N / A	N / A
88	68	 David L. Martin	 September 29, 1998	N / A	N / A	 Assistant Public Defender, State of Rhode Island (1974-1981)	N / A	 Private Practice (1981-1998)	N / A
256	69	 David Nuffer	N / A	N / A	N / A	N / A	N / A	N / A	N / A
148	70	 David S.	 November 24, 1980	N / A	N / A	 Clerk of Court, United States Bankruptcy Court for the	N / A	 Private Practice (1972-1973); Private Practice (1976-1980)	 Memphis Bar Association; National Conference of : Bankruptcy Judges; Shelby County Bar Association; Tennessee Bar Association
254	71	 David Sam	N / A	N / A	N / A	N / A	N / A	N / A	N / A
65	72	 David Stewart Cercone	 September 12, 2002	N / A	N / A	 Assistant District Attorney, Allegheny County District	N / A	N / A	N / A
248	73	 Dee Benson	 1991	 President George H.W. Bush	N / A	 Legal Counsel, Subcommittee on the Constitution, United. -	N / A	 Partner, Martineau & Maak; Partner, Snow, Christensen & Martineau (1976-1984)	 Salt Lake County Bar Association; Utah State Bat 
235	74	 Dennis G. Green	N / A	N / A	N / A	N / A	N / A	N / A	N / A
124	75	 Dennis H. Inman	 November 14, 1995	N / A	N / A	N / A	 Chancellor, Tennessee Court of Chancery, Third Judicial District -	N / A	N / A
