	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
310	0	 (part-time). Matthew D.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
259	1	 A. Raymond Randolph	N / A	N / A	N / A	N / A	N / A	N / A	N / A
209	2	 A. Wallace Tashima	 £995	 President William J. Clinton	N / A	 Deputy Attorney General, United States Department of Justice (1962-1968)	 District Judge, United States District Court for the Central District of California (1980-1995) & :	 Partner, Morrison & Foerster LLP (1977-1980) Military Service: United States Marine Corps (1953-1955)	 American Bar Association; Los Angeles County Bar Association; The State Bar of California , 
9	3	 Alan D. Lourie	N / A	N / A	N / A	N / A	N / A	N / A	N / A
128	4	 Alan E. Norris	 1986	 President Ronald Reagan	N / A	 City Prosecutor, City of Westerville, Ghio (1962-1966); State	N / A	 Attorney, Vorys, Sater, Seymour and Pease LLP (1961-1962); Parmer, Metz, Bailey, Norris & Spicer (1965-1980) _	 American Bar Association; American Judicature Society; Columbus Bar Association; Ohio State Bar Association
169	5	 Alex Kozinski	 November 7, 1985	 President Ronald Reagan	N / A	 Trial Attorney, Civil Division, United States Department of -) Fustice (1965-1969); Member, Judicial Conference of the United States (2000-2007)	 Judge, Arizona Court of Appeals (1975-1979); Chief Judge, United States Court of Appeals for the Ninth Circuit (2000-2007)	 Associate, Lewis and Roca LLP (1971-1973); Partner, Lewis and Roca LLP (1973-1975)	 American Bar Association; American Judicature Society; The American Law Institute; Arizona Women Lawyers Association; The District of Columbia Bar Association; Federal Bar Association; Hlinois State Bar Association; National Association of Women Judges; National Association of Women Lawyers; State Bar of Arizona
193	6	 Alfred T. Goodwin	 1972	 President Richard M. Nixon	N / A	N / A	 Judge, Oregon Circuit Court, Second Judicial District (1955-1960); Associate Justice, Oregon Supreme Court (1960-1969); Judge, United States District Court for the District of Oregon (1969-1971)	 Attorney, Darling, Vonderheit & Goodwin (1931-1955) Military Service: United States Army (1942-1946), United States Army Reserve, United States Department of the Army (1946-1969)	 American Bar Association; American Bar Foundation, American Bar Association, American Judicature Society; The American Law Institute; Oregon State Bar Association
112	7	 Alice M. Batchelder	N / A	 President George H.W. Bush	N / A	N / A	 Bankruptcy Judge, United States Bankruptcy Court for the Northern District of Ohio (2983-1985); District Judge, United States District Court for the Northern District of Ohio (1985-1992)	 Associate, Williams & Batchelder (1971-1983)	 American Bar Association; Federal Bar’ Association; Federal Judges Association; Medina County Bar Association
85	8	 Allyson K. Duncan	 August 15, 2003	 President George W. Bush	N / A	N / A	N / A	N / A	N / A
55	9	 Amalya L. Kearse	 June 1979	 President Jimmy Carter	N / A	 Assistant United States Attorney, Southern District of New	N / A	 Attorney, Cleary Gottlieb Steen & Hamilton LLP	N / A
174	10	 Andrew J. Kleinfeld	 1991	 President George H.W. Bush	N / A	N / A	 Magistrate Judge (part-time), United States District Court for the ~ District of Alaska (1971-1974); Judge, United States District Court for the District of Alaska (1986-1991) : Current Memberships: Alaska Bar Association; Tanana Valley Bar Association ate of Birth: 1953 ducation: Montana State 1975 BA; Montana 1978 ID egan Service: March 11, 1996 ppointed By: President William J. Clinton cademic: Adjunct Instructor of Law, Rocky Mountain College (982-1995)		 Alaska Bar Association; Tanana Valley Bar Association ate of Birth: 1953 ducation: Montana State 1975 BA; Montana 1978 ID egan Service: March 11, 1996 ppointed By: President William J. Clinton cademic: Adjunct Instructor of Law, Rocky Mountain College (982-1995) :Legal Practice: Partner, Moulton, Bellingham, Longo & Mather (1978-1996) 
58	11	 Anthony J. Scirica	N / A	N / A	N / A	N / A	N / A	N / A	N / A
4	12	 Anthony M. Kennedy	N / A	N / A	N / A	N / A	N / A	N / A	N / A
2	13	 Antonin Scalia	N / A	N / A	N / A	N / A	N / A	N / A	N / A
165	14	 Arthur Federman	 December 18, 1989	N / A	N / A	 Trial Attorney, Antitrust Division, United States Department	N / A	 Linde, Thompson, Langworthy, Kohn & Van Dyke	N / A
12	15	 Arthur J. Gajarsa	 September 12, 1997	 President William J. Clinton	N / A	 Special Counsel and Assistant to the Commissioner of Indian	N / A	 Associate, Duncan & Brown (1971-1972); Gajarsa, Liss &	N / A
198	16	 Arthur L. Alarcon	 November 20, 1979 .	 President Jimmy Carter	N / A	 Deputy District Attorney, County of Los Angeles, California (1952-1961); Legal Advisor and Clemency and Extradition Secretary, Governor Edmund G. (Pat) Brown (D-CA), State of California (1961-1962); Executive Assistant, Governor Edmund G. (Pat) Brown (D-CA), State of Califormia.(1962-1964) . .	 Judge, California Superior Court, Los Angeles County	N / A	 American Bar Association; Los Angeles County Bar Association
43	17	 Barrington D. Parker	N / A	N / A	N / A	N / A	N / A	N / A	N / A
176	18	 Barry G. Silverman	 February 1998	 President William J. Clinton	N / A	 Court Commissioner, Superior Court of Arizona (1979-1984)	N / A	N / A	 American Bar Association; Federal Bar Association; Maricopa County Bar Association; State Bar of Arizona
164	19	 Barry S. Schermer	N / A	N / A	N / A	N / A	N / A	N / A	N / A
299	20	 Bert W. Milling, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
196	21	 Betty Binns Fletcher	 October 1979	 President Jimmy Carter	N / A	 Deputy Attorney General, United States Department of	N / A	 Partner, Springer, McKissick & Hug (1958-1963); Partner, Woodburn, Wedge, Blakey, Folsom & Hug (1963-1977) Military Service: United States Navy (1953-1955) Nonprofit: General Counsel, University of Nevada System (1972-1976)	 American Bar Association; American Judicature Society; The American Law Institute; State Bar of Nevada Betty Binns Fletcher ‘Senior Judge ‘Date of Birth: 1923 ‘Education: Stanford 1943 BA; UF Washington 1956 LLB ‘Began Service: October 1979 Appointed By: President Jimmy Carter Legal Practice: Partner, Preston, Thorgrimson, Eliis, Holman & Fletcher (1956-1979) 
158	22	 Bobby E. Shepherd	N / A	N / A	N / A	N / A	N / A	N / A	N / A
264	23	 Brett M. Kavanaugh	 May 30, 2006	 President George W. Bush	N / A	 Attorney, Office of the Solicitor, United States Department of	N / A	 Partner, Kirkland & Ellis LLP (1997-2001)	N / A
34	24	 Brian K. Tester	N / A	N / A	N / A	N / A	N / A	N / A	N / A
216	25	 Bruce A.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
215	26	 Bruce A. Markell	N / A	N / A	N / A	N / A	N / A	N / A	N / A
25	27	 Bruce M. Selya	 November 24, 1986	 President Ronald Reagan	N / A	 Member, Judicial Council, Office of the Secretary of State, State of Rhode Island (1964-£972)	 Judge, Lincoln Probate Court (1965-1972); Judge, United States District Court for the District of Rhode Island {1982-1986}; Circuit Judge, Judicial Panel on Multidistrict Litigation	 Partner, Gunning, LaFazia, Gnys & Seiya (1960-1974); Partner, Selya & Iannuccillo (1974-1982)	 American Bar Association; American Judicature Society; Federal Bar Association; Federal Judges Association; Rhode Island. Bar Association; Rhode Island Bar Foundation, Rhode Island Bar Association 
161	28	 C. Arlen Beam	 November 9, 1987	 President Ronald Reagan	N / A	N / A	N / A	N / A	N / A
278	29	 C. Lynwood Smith, Jr.	 January 4, 1996 .	 President William J, Clinton	N / A	N / A	 Judge, Alabama Circuit Court, 23rd Judicial Circnit (1981-1995); Presiding Judge, Alabama Circuit Court, 23rd Judicial Circuit (1995-1996)	 Bell, Richardson, Cleary, McLain & Tucker (1972-1975);	N / A
293	30	 C. Michael Stilson	N / A	N / A	N / A	 Chapter 13 Standing Trustee, Administrative Office of the	N / A	N / A	 Alabama State Bar Association; National Conference of Bankruptcy Judges; Tuscaloosa County Bar Association
295	31	 Callie V. S. Granade	 February 20, 2002	 President George W. Bush	N / A	 Assistant United States Attorney, Southern District of “2:	N / A	N / A	N / A
98	32	 Carl E. Stewart	 May 9, 1994	.President William J. Clinton	N / A	 Staff Attorney, Office of the Attorney General, United States Department of Justice (1978-1979); Assistant United States Attorney, Western District of Louisiana, Office of the United States Attorney, United States Department of Justice (1979-1983); Special Assistant District Attorney, Office of the District Attorney, Caddo Parish, Louisiana (1983-1985); Assistant City Prosecutor, City of Shreveport, Louisiana (1983-1985)	 Judge, Louisiana District Court, First Judicial District (1985- 1991); Judge, Louisiana Court of Appeal, Second Circuit (1991-1994)	 Piper & Brown (1977-1978); Partner, Stewart & Dixon (1983-1985} . Military Service: United States Army (1974-1977)	 American Bar Association; The Harry V. Booth - Judge Henry A. Politz American Ian of Court, The American Inns of Court; Black Lawyers Association of Shreveport-Bossier; Louisiana Conference of Judges of Courts of Appeal; Louisiana State Bar Association; National Bar Association; Shreveport Bar Association
221	33	 Carlos F Lucero	 Fuly 22, 1995	 President William J. Clinton	N / A	 Staff Assistant, Subcommittee on Administrative Practice and	N / A	 Associate, Law Office of Fesse E. Pound (1965-1966); Partner, Pound & Lucero (1966-1980); Partner, Lucero, Lester & Sigmond (1980-1995)	 American College of Trial Lawyers; International Academy of Trial Lawyers; International Society of Barristers
188	34	 Carlos T. Bea	N / A	N / A	N / A	N / A	N / A	N / A	N / A
90	35	 Carolyn Dineen King	 July 13, 1979	 President Jimmy Carter	N / A	N / A	 Chief Judge, United States Court of Appeals for the Fifth Circuit {1999-2006}; Member, Judicial Conference of the United States (1999-2006); Member, Executive Committee, Judicial Conference of the United States (2000-2005); Chairman, Executive Committee, Judicial Conference of the United States (2002-2005)	 Associate, Fulbright & Jaworski L.L.P. (1962-1972); Partner, Childs, Fortenbach, Beck & Guyton (1972-1978); Partner, Sullivan, Bailey, King, Randall & Sabom (1978-1979}	 American Bar Association; The American Law Institute; Federai Bar Association; Houston Bar Association; State Bar of Texas
297	36	 Charles R. Butler, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
250	37	 Charles Reginald Wilson	 September 30, 1999	 President William J. Clinton	N / A	 United States Attorney, Middle District of Florida, United	N / A	 Private Practice (1981-1986)	 American Bar Association; The C.H. Ferguson-M.E, White American Inn of Court, The American Inns of Court; The American Law Institute; Federal Bar Association; The Florida Bar
272	38	 Charles S	 May 1, 1987	N / A	N / A	 General Counsel, State Board of Education, Stat	N / A	 Associate, Smith, Bowman, Thaggard, Crook &	N / A
106	39	 Charles.	N / A	N / A	N / A	 Deputy Assistant Attorney General, Civil Division, Office of the Associate Attorney General, United States Department of Justice (1989-1993)	 Judge, Mississippi Court of Appeals (1995-2006)	N / A	N / A
