	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
71	0		N / A	N / A	N / A	N / A	N / A	N / A	N / A
218	1	 $, Arthur Spiegel, Lo	N / A	N / A	N / A	N / A	N / A	N / A	N / A
55	2	 (Recalled) Larry M.	 1992	N / A	N / A	N / A	N / A	N / A	N / A
56	3	 (Recalled) Mikel H.	 1984	N / A	N / A	N / A	N / A	N / A	 The American Inns of Court; Idaho State Bar and Idaho Law Foundation, Inc. 
167	4	 (part-time) Craig M.	 August 23, 2007	N / A	N / A	N / A	N / A	N / A	N / A
316	5	 (part-time) Victor H.	 March 22, 1988	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Maryland State Bar Association, Inc.; Wicomico County Bar Association 
127	6	 (recailed) John D.	 November 2, 1984	N / A	N / A	 Assistant United States Attorney, Northern District of	N / A	 Private Practice	 American Bankruptcy Institute; American Bar Association, American College of Bankruptcy; The Chicago Bar Association; Federal Bar Association; Lawyers Club of Chicago; National Conference of Bankruptcy Judges
157	7	 (recall) Kent Lindquist	 May 1985	N / A	N / A	N / A	 Chief Bankruptcy judge, United States Baiihnubtcy Court for the	N / A	N / A
115	8	 (recalled) Ariander_ ,	 2609 :	N / A	N / A	 Trial Attorney, National Labor Relations Board (1975-1980); Regional Attorney, Chicago (IL) Regional Office, Uniled States Vetere Labor Relations Authority (1980-1986)	 Administrative Law Judge, Office of Hearings and Appeals, Social	N / A	 American Bar Aésociation; The Chicago Bar -_ Association; Cook County Bar Association; Fea Bae Associalions Ilinois Judicial Council :
205	9	 (recalled) Donald W.	 July 22, 1999	N / A	N / A	N / A	N / A	 Adams, Sones, Robins & Malone (1968-1999)	 American Bar Association; American Bar Foundation, American Bar Association; American College of Tnal Lawyers; Federal Magistrate Judges Association; Kansas Bar Association; Kansas Bar Foundation, Kansas Bar Association; Wichita Bar. Association
344	10	 (recalled) Jerome J.	N / A	N / A	N / A	N / A	N / A	N / A	 Connecticut Bar Association; The District of Columbia Bar, Vermont Bar Association 
50	11	 (recalled) Lloyd King	N / A	N / A	N / A	N / A	N / A	N / A	N / A
116	12	 (recalled) Martin C.	 2010	N / A	N / A	 Corporation Counsel, Village of Medion Grove, Illinois (1977-1987)	 Commissioner, Illinois Court of Claims (1974-1987); Judge,	N / A	 American Bar Association; The Chicago Bar Association; The Decalogue Society of Lawyers; Federal Bar Association; [lHnois State Ear Association 
380	13	 (recalled) Walter	 July 15, 2002	N / A	N / A	N / A	N / A	N / A	 American Bar Association; American Judicature Society; Detroit Bar Association, National Conference of Bankruptcy Judges; State Bar of Michigan 
70	14	 (recalled) William V.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
138	15	 (visiting) Gerald D.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
139	16	 (visiting) James K.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
140	17	 (visiting) Pamela. °:	N / A	N / A	N / A	N / A	N / A	N / A	N / A
128	18	 (visiting) William V.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
125	19	 A. Benjamin Goldgar	 February 3, 2003	N / A	N / A	 Assistant Attorney General, Civil Appeais Division, Office of	N / A	 Keck, Mahin & Cate (1982-1995) / Nonprofit: President, Tilinois Appellate Lawyers Association (2001-2002)	 American Bankruptcy Institute; American Bar Association, American Bar Association; Appellate Lawyers Association; The Chicago Bar Association; The Seventh Circuit Bar Association, Federal Bar Association; Illinois State Bar Association; National Conference of Bankruptcy Judges
254	20	 A. J. McNamara	 June 25, 1982	 President Ronald Reagan	N / A	 State Representative A. J. McNamara (R-LA}, Louisiana	N / A	 Private practice (1968-1972); Monton, Roy, Carmouche, Hailey, Bivins & McNamara (1972-1978); Hailey, McNamara, McNamara & Hall (1978-1982) Military Service: United States Navy (1959-1962)	 American Bar Association
45	21	 Alan C. Kay.	 1987 .	 President Renald Reagan	N / A	N / A	N / A	 Partner, Case, Kay & Lynch (1960-1986) Military Service: United States Marine Corps (1953-1955)	 The Aloha American Inn of Court, The ‘American Inns of Court
11	22	 Alan J. Baverman	 February 1, 2001	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Atlanta Bar Association; Federal Magistrate Judges Association; State Bar of Georgia 
299	23	 Alexander Williams, Jr.	 August 17, 1994	 President William J. Clinton	N / A	 Municipal Attomey, Office of the State’s Attorney, County of Prince George’s, Maryland (1975-1987); Assistant Public Defender, Office of the State’s Attorney, County of Prince George’s, Maryland. (1977-1978), Staff Attorney, Office of the Public Defender, Prince George’s County, Maryland (1977-1978), Hearing Examiner and Special Counsel to the Board of Education, Office of Law, County of Prince George’s, Maryland (978- 1987); State’s Attorney, State of Maryland , (1987-1994)	 Substitute Juvenile Master, Prince George’s County, Maryland’ (1976-1977)	 ‘Attorney, Law Oilices of Alexander Williats, Je, .	N / A
255	24	 Alma L. Chasez	N / A	N / A	N / A	N / A	N / A	N / A	N / A
217	25	 Amul R. Thapar	N / A	N / A	N / A	N / A	N / A	N / A	N / A
