	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
78	0		N / A	N / A	N / A	N / A	N / A	 McKinley, Schmidtlein & Mitchell (1979-1994)	N / A
215	1	 (Chairman) John Gilpin	N / A	N / A	N / A	N / A	N / A	N / A	N / A
57	2	 (part-time) David J.	 October 9, 2001	N / A	N / A	N / A	N / A	 Private Practice - Litigation Military Service: United States Marine Corps	 West Virginia Bar Association; West Virginia State Bar 
47	3	 (part-time) David W.	 March 2007	N / A	N / A	N / A	N / A	N / A	N / A
45	4	 (part-time) Dean Brag.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
91	5	 (part-time) James K.	 2004	N / A	N / A	N / A	N / A	N / A	 State Bar of Montana; Wyoming Bar Association
74	6	 (part-time) James R.	 December 1991	N / A	N / A	N / A	N / A	 Private Practice (1977-1987)	 American Bankruptcy Institute; American College of Bankruptcy; The American Inns of Court; Miiwaukee Bar Association; National Association of Women Lawyers; National Conference of ‘Bankruptcy Judges; State Bar of Wisconsin
90	7	 (part-time) Karen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
89	8	 (part-time) Robert w,	N / A	N / A	N / A	N / A	N / A	N / A	N / A
82	9	 (part-time) Theresa M.	 March 5, 2004	N / A	N / A	N / A	N / A	 Ross & Stevens (1969-1978)	 American College of Bankruptcy; American Judicature Society; National Bankruptcy Conference; National Conference of Bankruptcy Judges; State Bar of Wisconsin; Turnaround Management ‘Association
26	10	 (recalled) John A.	 1987	N / A	N / A	N / A	N / A	N / A	N / A
46	11	 (recalled) John L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
92	12	 (recalled/part-time)	 January 1, 1971	N / A	N / A	N / A	N / A	N / A	 Federal Magistrate Judges Association; Fremont County Bar Association; Wyoming Bar Association; Wyoming Trial Lawyers Association United States Bankruptcy Court for the District of Wyoming 2120 Capitol Avenue, Suite 6004, Cheyenne, WY 82001-3633 Tel: (307) 433-2200 Tel: (307) 433-2238 (VCIS) Tel: (888) 804-5537 (Toll Free VCIS) Internet: www.wyb.uscourts. gov ‘Number of Judgeships: |
71	13	 Aaron E. Goodstein	 November 1, 1979	N / A	N / A	N / A	N / A	 Chernov, Croen and Goodstein (2968-1979)	 American Bar Association; The Seventh Circuit Bar Association, Federai Bar Association; Federal Magistrate Judges Association; Milwaukee Bar Association; State Bar of Wisconsin
118	14	 Aida M. Delgado-Colén	 March 20, 2006	 President George W. Busi	N / A	 Legal Investigator, Labor and Human Resources Department, Commonwealth of Puerto Rico (1980-1981); Director of Research and Investigations, Labor and Human Resources Department, Commonwealth of Puerto Rico (1981-1982); Assistant Federal Public Defender, United States District Court for the District of Puerto Rico (1982-1988); First Assistant Federal Public Defender, United States District Court for the District of Puerto Rico (1988-1993); Acting Federal Public Defender, United States District Court for the District of Puerto Rico (1991)	 Magistrate Judge, United States District Court for the District of	N / A	 American Bar Association; Association of Magistrate Judges; Federal Bar Association; Puerto Rico Chapter, Federal Bar Association; National Association of Women Judges; National Hispanic Bar Association (787) 772-3164 (787) 772-3163 (787) 772-3161
85	15	 Alan B. Johnson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
180	16	 Alan G. Lance, Sr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
110	17	 Alan Kay	 1991	N / A	N / A	 Public Defender, District of Columbia (1960-1962); Assistant:	N / A	 Bregman, Abell & Kay (1967-1991) Military Service: District of Columbia National Guard	 The American Inns of Court; The District of Columbia Bar; National Conference of Bar Examiners; The Virginia Bar Association.
114	18	 Alex R. Munson		 President Ronald Reagan	N / A	N / A	 Chief Justice of the High Court, Trust Territory of the Pacific	N / A	 American Bar Association; The State Bar of California 
170	19	 Andrew S. Effron	 1996	 President William J. Clinton	N / A	 Legislative Aide (full and part-time), U.S, Representative	N / A	N / A	N / A
214	20	 Anthony J. Scirica	N / A	N / A	N / A	N / A	N / A	N / A	N / A
205	21	 Arthur L. Nims fll	 June 29, 1979	 President Jimmy Carter	N / A	 Special Attorney, Office of the Chief Counsel, Internal	N / A	 Private Practice (1949-1951); McCarter & English (3955-1979) Military Service: United States Navai Reserve (1943-1946)	 American Bar Association; American College of Tax Counsel; The American Law Institute
12	22	 B. Waugh Crigler	N / A	N / A	N / A	N / A	N / A	N / A	N / A
