	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
31	0		 February 2, 2004	N / A	N / A	N / A	N / A	N / A	 Alabama State Bar; State Bar of Georgia.
348	1	 (half-time) Larry A.	 1985	N / A	N / A	N / A	N / A	N / A	N / A
258	2	 (part-time) David L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
15	3	 (part-time) Leslie	N / A	N / A	N / A	N / A	N / A	N / A	N / A
16	4	 (part-time) Matthew D.	 November 1, 1984	N / A	N / A	N / A	N / A	N / A	 Alaska Bar Association United States Bankruptcy Court for the District of Alaska 605 West Fourth Avenue, Room 138, Anchorage, AK. 99501-2296 Fel: (907) 271-2655 Tel: (800) 859-8059 (Toll Free within Alaska) ‘Fel: (907) 271-2695 (PACER) Tel: (907) 271-2658 (VCIS) Fax: (907) 271-2645 Internet: www.akb.uscourts.gov Number of Judgeships: 1
132	5	 (part-time) Rita C.	 December 27, 2004	N / A	N / A	N / A	N / A	N / A	 Los Angeles County Bar Association; National Conference of Bankruptcy Judges; State Bar of California
48	6	 (part-time} James FE	N / A	N / A	N / A	N / A	N / A	N / A	N / A
337	7	 (recailed) Alexander |. Paskay continueg	N / A	N / A	N / A	N / A	N / A	N / A	N / A
336	8	 (recalled) Alexander	 1963	N / A	N / A	 Research Assistant, United States District Court for the	N / A	N / A	 American Bankruptcy Institute; American Bar Association; American College of Bankruptcy; American Judicature Society; Federal Bar Association; The Florida Bar; Hillsborough County Bar Association
178	9	 (recalled) David E.	 Novensber 3, 1986	N / A	N / A	N / A	N / A	N / A	N / A
18	10	 (recalled) Herbert A.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
76	11	 (recalled) James G.	 December 1, 2006	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptcy Court for the Eastern District of Arkansas; Bankruptcy Judge, United States Bankruptcy Court for the Western District of Arkansas (1984-2006); Bankruptcy Judge, United States Bankruptcy Court for the Eastern District of Arkansas (1984-2006)	 Private Practice (1969- -1973); Partner, Little, MeCotfum & Mixon (1973-1984) : Military Service: United States Navy (1963-1963)	 Arkansas Bar Association; Debtor-Creditor Bar’ Association of Central Arkansas; National Conference of Bankruptcy - Judges; Pulaski County Bar Association 
14	12	 (recalled) John D.	 1977 a ' bay ;	N / A	N / A	 Assistant United States Attomey, Middle District of Florida,	N / A	N / A	N / A
386	13	 (recalled) Peter R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
179	14	 (recalled) Richard T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
388	15	 (recalled) Robert L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
67	16	 (recalled) —— Ww.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
262	17	 A. Bruce Campbell	 March 22, 2061	N / A	N / A	N / A	N / A	N / A	N / A
84	18	 A. Howard Matz	 July 10, 1998	 President William J, Clinton	N / A	 Assistant United States Attorney, Central District of	N / A	 Associate, Hughes, Hubbard & Reed (1970-1974); Partner, Hughes, Hubbard & Reed (1979-1983); Principal, Bird, Marella, Boxer, Wolpert & Matz, PC (1983-1998)	 American Bar Association; Federal Bar Association; Los Angeles County Bar Association; The New York State Bar Association; State Bar of California
392	19	 A. Say Cristol	 April 1985	N / A	N / A	N / A	N / A	 Partner, Cristol, Mishan & Sloto (and predecessor firms) (1959-1985) Military Service: United States Naval Reserve (i951. 1988}	 American Bankruptcy Institute; American Bar Association; American College of Bankruptcy; Dade County Bar Association; The Florida Bar; National Conference of Bankruptcy Judges _
360	20	 Adalberto Jordan	 October 1, 1999	 President William 3. Clinton	N / A	 Assistant United States Attorney, Southern District of Florida,	N / A	 Litigation Associate, Steel Hector & Davis LLP (1989-1993); Parmer, Steel Hector & Davis LLP (1994-1994)	 American Bar Association, The Florida Bar
284	21	 Alan H.W. Shiff_ .	 1981	N / A	N / A	N / A	 Chief Judge, U.S Bankruptcy Court for the District of Connecticut (1981-2000)	 Partner, Shiff, Shiff & Schancupp (1960-1981)	 Connecticut Bar Association 
210	22	 Alan Jaroslovsky	N / A	N / A	N / A	N / A	N / A	N / A	N / A
139	23	 Alan M. Ahart	 April 1988	N / A	N / A	 Assistant United States Trustee, United States Department of	N / A		 Federal Bar Association; National Conference of Law Clerk Lorraine M. Graw ... 0.0.0.0... 02. e ee eee {213} 894-1530 Career Law Clerk Deborah Chang .................5. (213) 894-3592 Courtroom Deputy Thais May................2.. 000 (213) 894-5856 Courtroom Services Clerk Naney Vandensteen ........ (213) 894-6498 Judicial Yellow Book United States Bankruptcy Court fer the Central District of California 135 hambers of Bankruptcy Judge Ernest M. Robles gdward R. Roybal Federal Building, 255 East Temple Street, Los Angeles, CA 90012 Jel: (213) 894-1522 Fax: (213) 894-1536 E-mail: ernest_ tobles@cacb uscourts. gov Emest M. Robles Bankruptcy Judge Date of Birth: 1956 Education: UC Berkeley 1978 BA; Michigan 1981 JD Began Service: June 12, 1993 Term Expires: June 11, 2021 Political Affiliation: Republican... Government: Assistant United States Trustee, United States Department of Justice (1988-1993) Legal Practice: Musick, Peeler & Garrett 4 (1981. 1982); Hancock, Rothert . & Bunshoft (1982-1987); Kornblum & McBride.(1987-1988) 
357	24	 Alan S. Gold.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
283	25	 Albert S. Dabrowski	N / A	N / A	N / A	N / A	N / A	N / A	N / A
107	26	 Alicemarie H. Stotler	 1984	 President Ronald Reagan	N / A	N / A	N / A	N / A	 American Bat Association: California Judges Association; Federal Judges Association; National Association of Women Judges; Orange County Bar Association; Orange County Trial Lawyers Association
128	27	 Alicia G. Rosenberg	 March 2007	N / A	N / A	N / A	N / A	N / A	N / A
266	28	 Alvin W. Thompson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
381	29	 Andrea M. Simonton	 April 1, 1999	N / A	N / A	N / A	N / A	N / A	N / A
95	30	 Andrew J. Guilford	 June 2006	 President George W. Bush	N / A	N / A	N / A	 Associate, Sheppard, Mullin, Richter & Hampton LLP	N / A
113	31	 Andrew J. Wistrich	 March 30, 1994	N / A	N / A	N / A	N / A	 Associate, McCutchen Doyle Brown & Enersen * (1978-1983); Partner, Brown & Bain, PA. (1985-1994) ,	 American Judicature Society; The American Law Institute
377	32	 Ann E. Vitunac	N / A	N / A	N / A	 Assistant District Attorney, Commonwealth of Pennsylvania	N / A	N / A	 The Craig S, Bernard American Inn of Court, The E-mail: lizbeth_michel@fls¢.uscourts. gov a American Inns of Court; Palm Beach County Bar Association Magisterial Support Lakeshia A, Wiltiams............. (305) $23-5284
295	33	 Anne C, Conway	N / A	N / A	N / A	N / A	N / A	N / A	N / A
329	34	 Anthony E. Porcelli	 2009	N / A	N / A	 Narcotics Assistant U.S. Attorney, Criminal Division, Tampa	N / A	N / A	N / A
233	35	 Anthony J. Battaglia	 November 15, 1993	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Federal Bar Association; Federal Magistrate Judges Association; San Diego County Bar Association; San Diego County Judges Association
151	36	 Anthony W. Eshii .	N / A	 President William J. Clinton	N / A	 Deputy City Attorney/Law Clerk, Office of the City Antony, City of Sacramento, California (1973-1975); Deputy Public Defender, Office of the Public Defender, County of Fresno, Califotnia (1975-1979)	 Judge, Parlier-Selma Judicial District (1983-1993); Judge, Central	N / A	 Asian Pacific Bar Association of Sacramento; Association of Business Trial Lawyers; California Asian Judges Association; Eastern District Historical Society; Federal Judges Association; Fresno County Women Lawyers Association; Ninth Circuit District Judges Association; Ninth Judicial Circuit Historical Society, United States Courts: of Appeals
117	37	 Arthur Nakazato	N / A	N / A	N / A	N / A	N / A	N / A	N / A
212	38	 Arthur S, Weissbrodt	 December 1989	N / A	N / A	N / A	N / A	N / A	N / A
77	39	 Audrey B. Collins	 May 11, 1994	 President William 7. Clinton	N / A	 Deputy District Attorney, Office of the District Attorney,	N / A	N / A	 American Bar Association; Black Women Lawyers Association of Los Angeles, Inc.; California Women Lawyers; The John M. Langston Bar Association; Los Angeles County Bar Association; National Association of Women Judges; National Bar Association; Women Lawyers Association of Los Angeles
73	40	 Audrey R. Evans	 February 19, 2002	N / A	N / A	N / A	N / A	 Wright, Lindsey & Jennings, LLP (1985-1990); Partner,	N / A
236	41	 Barbara L. Major	N / A	N / A	N / A	N / A	N / A	N / A	N / A
379	42	 Barry L. Garber	 September 13, 1991	N / A	N / A	 Assistant State Attorney, Dade County, State of Florida	N / A	 Pariner, Garber & Chadroff (1959-1972); Sole Practitioner (1972-1974); Partner, Garber & Buoniconti (1974-1984), Partner, Dubbin, Berkinan, Garber & Bloom (1986-1991)	 American Bar Association; The American Inns of Court; Federal Bar Association; The Florida Bar
133	43	 Barry Russell	 September 1974	N / A	N / A	 Estate & Gift Tax Examiner, California, United States Department of the Treasury (1966-1967); Deputy Public Defender, Office of the Public Defender, County of Los Angeles, California (1967-1970); Assistant United States Attorney, Central District of California, United States Department of Justice (1970-1974) :	 Fudge, United States Bankruptey Appellate Panel of the Ninth	N / A	 American Bankruptcy Institute; American College of Bankruptcy; Federal Bar Association; Los Angeles County Bar Association
378	44	 Barry S. Seltzer	 March 19, 1991	N / A	N / A	 Assistant United States Attorney, Southern District of Florida, United States Department of Justice (1984-1988)	 Judge, Broward County Court (1988-1991)	 Treman, Simmons, Kemker, Scharf, Barkin, Frye & O'Neill (1980-1982)	 American Bar Association; The Stephen R. Booher American Inn of Court, The American Inns of Court; B’nai Birth Justice Unit; Broward County Bar Association; Federal Bar Association; Federal Magistrate Judges Association; The Florida Bar
217	45	 Barry Ted Moskowitz	 January 2, 1996	 President William J. Clinton	N / A	 Assistant United States Attorney, District of New Jersey, United States Department of Justice (1976-1982); Assistant United States Attorney, Southern District of California, United States Depachnent of Justice {1985-1986}	 Magistrate Judge, United States District Court for the Southern District of California (1986-1995)	 Williams, Caleri, Miller & Otley (1982-1985)	N / A
74	46	 Ben T. Barry	N / A	N / A	N / A	N / A	N / A	N / A	N / A
