	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
30	0	 (Recalled) Mikel H.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
117	1	 (part-time) Michael G.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
238	2	 (part-time) Victor H.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
85	3	 (recailed) John D.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
109	4	 (recall) Kent Lindquist	 May 1985	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptcy Court for the	N / A	N / A
167	5	 (recalled) Joe i,	 September 1, 1961 : 1948 flarvard 1970 AB; Kentucky 1976 JD 1992 H.W. Bush Academie: Adjunct Professor, cally of Law, Universiey of Kentucky y: President George ms (1972-1992) Clerkships: Law Clerk The Honorable James B. Milliken, Kentucky ¢ of Appeals; Law Clerk The Honorable Hiram Church Ford, United stg¢; District Court for the Eastern District of Kentucky Corporate: Editor-in-Chief, The American Bankruptcy Law Journal (1982-1990); Author, Bankruptey Practice Manual (1995); Consultant, : Bankruptcy Service, Lawyer's Edition Goverment: Counsel, Subcommittee on Children’ s Mental Health, Uni States Congress Military Service: United States Air Force (1943-1949) Current Memberships: American Bar Foundation, American Bar Association; American College of Bankruptcy; National Bankruptcy Conference : Special Counsel, Office of the County Executive, Jefferson ely (1977-1983) actice: Atlarney, Brown, Todd & Heyburn PLLC (1976-1992) Service: United States Army Reserve, United States Department of 970-1976) iach American Bar Association; Kentucky Bar ia; Louisville Bar Association; Louisville Bar Foundation, eé one Association ork Kate Lacy Crosby .........---.0-0- seen (502) 625-3620 att Service: September 4, 2007 i: kate_crosby@kywd.uscourts.gov ler Albert B. Stieglitz, Jr... ......... 60s sees (502) 625-3620 Service: September 4, 2007 : albert_stieglitaz@kywd uscourts.gov . Reporter Alan Wemecke .......-.-.....-20040- (502) 625-3779 retary Peggy L. Dean .........--2- 00sec eres (502) 625-3620 Staff Career Law Clerk Cherry Owens ...2.0...00 00 cece aes Education: Union Col (KY) 1970 BA, 1973 MA; Kentucky 1983 JD Judicial Assistant Donna Famulare............5..-+-- mbers of District Judge Charles R. Simpson Ill ‘Gene Snyder U.S. Courthouse, 601 West Broadway, ilie, KY 40202 02) 625-3600 Fax: (502) 625-3619 il: judgesimpson@kywd.uscourt.gov United States District Court for the Western District of Kentucky Gene Snyder U.S. Courthouse, 601 West Broadway, Room 106, Lonisville, KY 40202-2249 Tel; (502) 625-3500 Tel: (806) 676-6856 (PACER) Internet: http://pacer.uscourts.gov Fax: (502) 625-3880 Internet: www.kywd.uscourts.gov Charles R. Simpson Ili District Judge Date of Birth: 1945 Education: Louisville 1967 BA, 1970 JD 	 President Ronald Reagan	N / A	 Staff Counsel, County of Jefferson, Kentucky (1978-1984);	N / A	N / A	 American Bar Foundation, American Bar Association; American College of Bankruptcy; National Bankruptcy Conference : Special Counsel, Office of the County Executive, Jefferson ely (1977-1983) actice: Atlarney, Brown, Todd & Heyburn PLLC (1976-1992) Service: United States Army Reserve, United States Department of 970-1976) iach American Bar Association; Kentucky Bar ia; Louisville Bar Association; Louisville Bar Foundation, eé one Association ork Kate Lacy Crosby .........---.0-0- seen (502) 625-3620 att Service: September 4, 2007 i: kate_crosby@kywd.uscourts.gov ler Albert B. Stieglitz, Jr... ......... 60s sees (502) 625-3620 Service: September 4, 2007 : albert_stieglitaz@kywd uscourts.gov . Reporter Alan Wemecke .......-.-.....-20040- (502) 625-3779 retary Peggy L. Dean .........--2- 00sec eres (502) 625-3620 
116	6	 (recalled) Kennard P	 May 16, 1986	N / A	N / A	 Special Agent, Federal Bureau of Investigation, United States	N / A	 Attorney, Jones, Foster & Loveall (1971-1976)	 Federal Bar Association; Johnson County Bar Association hambers of Chief Bankruptcy Judge Basil H. Lorch Ill 7 Federal Building, 121 West Spring Street, New Albany, IN 47150
26	7	 (recalled) Lioyd King	N / A	N / A	N / A	N / A	N / A	N / A	N / A
94	8	 (visiting) Gerald D.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
95	9	 (visiting) James K.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
96	10	 (visiting) Pamela	N / A	N / A	N / A	N / A	N / A	N / A	N / A
