	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
289	0	 (Recalled) Leslie G.	 February 1, 1991	N / A	N / A	 Assistant District Attorney, Office of the District Attorney,	N / A	 Buffalo Partner, Cohen Swados et al. (1978-1981)	 American Bar Foundation, American Bar Association; Bar Association of Erie County; Federal Magistrate Judges Association; New York Bar Foundation, The New York State Bar Association 
39	1	 (Recalled) Richard W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
329	2	 (part-time) Alice R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
113	3	 (part-time) Anthony R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
112	4	 (part-time) Edward R. ‘_	 December 1, 1976	N / A	N / A	N / A	 Judge, Margate City Municipal Court (1977-1981)	 Fox, Rothschild, et al. (1976) : Military Service: United States Air Force (1943-1945)	 New Jersey State Bar Association; State Bar of Wisconsin
38	5	 (part-time) Gerard M.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
206	6	 (part-time) Larry A.	 January 24, 2002	N / A	N / A	N / A	N / A	 Larry A. Kudrie, Esq, Law Guardian Office Military Service: Lt. Colonel, United States Air Force (1974-1994)	 Clinton County Bar Association 
265	7	 (part-time) Martin R.	 1992	N / A	N / A	 Chief Assistant District Attorney, Office of the District	N / A	 Private Practice .	N / A
114	8	 (part-time} Anthony R. Mautone	N / A	N / A	N / A	N / A	N / A	N / A	 The Seton Hall Alumni American Inn of Court, The American Inns of Court; Essex County Bar Association: Federal Bar Association; New Jersey State Bar Association Statt Secretary Angela DiAndrea......................... (973) 325-5900 Office Manager Lorraine Cole....................... (973) 325-5900 Receptionist Kim Kukuce......20..00. 000000000000. (973) 325-5900 United States Bankruptcy Court for the District of New Jersey — Martin Luther King, Jr, Federal Building & U.S. Courthouse, 30 Walnut Street, 3rd Floor, Newark, NJ 07102 PO. Box 1352, Newark, NJ.17161-1352 Tel: (973) 645-2630 Tel: (973) 645-4764 (Phone) Tel: (973) 645-3555 (PACER) Tel: (973) 645-6045 (VCIS} Internet: www.njb.uscourts,gov Number of Judgeships: 9
144	9	 (part-time} Kea Riggs	N / A	N / A	N / A	N / A	N / A	N / A	N / A
143	10	 (parttime) Robert Ww.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
393	11	 (recalled) Burton	 1980 :	N / A	N / A	N / A	N / A	N / A	 American College of Bankruptcy; The Association of the Bar of the City of New York; Federal Bar Association; National Conference of Bankruptcy Judges; New York County Lawyers’ Association 
276	12	 (recalled) Burton R.	 1980 :	N / A	N / A	N / A	N / A	N / A	 American College of Bankruptcy; The Association of the Bar of the City of New York; Federal Bar Association; National Conference of Bankruptcy Judges; New York County Lawyers’ Association 
146	13	 (recalled) Don J. Svet	N / A	N / A	N / A	N / A	N / A	N / A	N / A
