	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
206	0	 (Chairman) John Gilpin	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
71	1	 (part-time) David J	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
37	2	 (part-time) James G.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
99	3	 (part-time) James K.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
85	4	 (part-time) James R.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
100	5	 (part-time) R. Michael	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
101	6	 (part-time) Teresa M.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
92	7	 (part-time) Theresa M.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
98	8	 (part-time} Robert W.	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
102	9	 (recailed/part-time)	Began Service: 1982 Term Expires; September 30, 2014 Affiliation: Bankruptcy Judge, United States Bankruptcy Appellate Panel for the Tenth Circuit Academie: Visiting Associate Professor of Law, University of Utah College of Law; Instructor of Advanced Business Law, University of Utah, Graduate School of Business Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995	Appointed By: President William J. Clinton	N / A	N / A	N / A	N / A	Current Memberships: American College of Bankruptcy; National Conference of Bankruptcy Judges J. Garvan Murtha District Fudge Date of Birth: 1941 Education: Yale 1963 BA; Connecticut 1968 LLB; Georgetown 1972 LLM Began Service: June 1, 1995 Appointed By: President William J. Clinton Number of Judgeships: 3 Court Staff Clerk of Court Richard Paul Wasko.................. E-mail: richard_wasko@vtd.uscourts.gov Chief Deputy of Operations Jeffrey S. Eaton........... Chief Probation Officer Joseph McNamara............ Director of Technology Michael Dunavin.............. Financial Administrator Julie M. McKenzie............ Jury Administrator and Personnel Assistant Kathleen Carter... 2.0... mment: Deputy County Attorney, Office of the County Attorney, of Windham, Vermont (1970-1973)
