	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
19	0	 (part-time) Karen	 2004	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Sweetwater County Bar Association; Wyoming Bar Association freannibeee of Magistrate Judge (part-time) James K. = Lubing P.O. Box 4117, Jackson, WY 83001 Tel: (307) 733-4126 Fax: (307) 733-3860 James K. Lubing | Magistrate Judge (part-time) Education: Hamline 1984 3D Began Service: 2004 “Term Expires: 2008 : 
20	1	 (part-time) R. Michael	N / A	N / A	N / A	N / A	N / A	N / A	N / A
17	2	 (part-time) Richard D.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
18	3	 (part-time) Robert W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
2	4	 Aaron E. Goodstein	 November 1, 1979	N / A	N / A	N / A	N / A	 Chernov, Croen and Goodstein (1968-1979)	 American Bar Association; Federal Magistrate - Judges Association; Milwaukee Bar Association, Seventh Circuit Bar Association; State Bar of Wisconsin
54	5	 Aida M.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
13	6	 Alan B. Johnson	 1986	 President Ronald Reagan	N / A	N / A	 Magistrate Judge (part-time), United States District Court for the District of Wyoming (1971-1975); Part-Time Judge, Cheyenne Municipal Court (1972); Judge, Wyoming District Court (1975-1986)	 Paul B. Godfrey (1968-1971), Hanes, Carmichael, Johnson, Gage & Speight, PC (1971-1974) Military Service: Judge Advocate, United States Air Force (1964-1967); Wyoming Air National Guard (1973)	 American Bar Association; Laramie County Bar Association; Wyoming Bar Association
108	7	 Alan G. Lance, Sr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
41	8	 Alan Kay	 1991	N / A	N / A	N / A	N / A	N / A	 American Inns of Court; District of Columbia Bar ‘association, National Conference of Bar Examiners; The Barristers; The tawyers Club; Virginia Bar Association
45	9	 Alex R. Munson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
99	10	 Andrew S. Effron	 1996	 President William J. Clinton	N / A	 Legislative Aide (full and part-time), US. Representative	N / A	N / A	N / A
131	11	 Arthur L. Nims Ill	N / A	N / A	N / A	N / A	N / A	N / A	N / A
8	12	 Barbara B. Crabb	 November 26, 1979	 President Jimmy Carter ~	N / A	N / A	 Magistrate Judge, United States District Court for the Western District of Wisconsin (1971-1979)	 Associate, Roberts, Boardman, Suhr, Byork & Curry (1962-1964)	 American Bar Association; Dane County Bar. Association; James E. Doyle Inn of Courts; National Association of Women Judges; State Bar of Wisconsin
