	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
100	0	 (Recalled) Arnold C.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
216	1	 (Recalled) Joe B.	 August 3, 1998	N / A	N / A	 Assistant United States Attorney, United States Attorney’s Office, United States Department of Justice, Richard M, Nixon Administration (1971-1981); United States Attorney, Middle District of Tennessee, United States Attorney’s Office, United States Department of Justice, Ronald Reagan Administration (1981-1991); Speciai Assistant, United States Trustee (1991-1998)	 Military Judge (1969-1971), Magistrate Judge, United States	N / A	 Kentucky Bar Association; Nashville Bar Association : 
101	2	 (Recalled) Peter B.	 December 11, 1974	N / A	N / A	 Hearing Examiner, Pennsylvania Liquor Control Board (1963-1971)	 Magistrate Judge, United States District Court for the Eastern District of Pennsylvania (1974-2006)	 Private Practice (1952-1974)	 Philadelphia Bar Association
192	3	 (Recalted) Irvin N.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
190	4	 (half-time) Mark A.	 February 1, 1993	N / A	N / A	 Assistant Attorney General, Office of the Attorney General	N / A	N / A	 Nebraska State Bar Association; State Bar of South Dakota
147	5	 (part-time) Keith A.	 1994	N / A	N / A	N / A	N / A	N / A	N / A
262	6	 (part-time) Robert K.	 April 1980	N / A	N / A	N / A	N / A	N / A	 American Bar Association; College of the State Bar of Texas; State Bar of Texas; Wichita Bar Association 
339	7	 (part-time) Robert T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
49	8	 (part-time) Shon T.	 June 1, 1995	N / A	N / A	N / A	N / A	N / A	N / A
129	9	 (part-time) William H.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
191	10	 (part-time} Myles	 January 2001	N / A	N / A	N / A	N / A	N / A	N / A
181	11	 (part-time} Robert L.	 Apnl i, 1979	N / A	N / A	N / A	N / A	N / A	 Aiken County Bar Association; American Association for Justice; American Bar Association; American Judicature Society; South Carolina Bar Association, South Carolina Trial Lawyers Association 
