	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
34	0	 (part-time) James G.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
117	1	 (part-time) James K.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
101	2	 (part-time) James R.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
116	3	 (part-time) Karen	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
118	4	 (part-time) R. Michael	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
119	5	 (part-time) Teresa M.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
68	6	 (part-time} David W.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
70	7	 (recalled) J. Kelley	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
48	8	 (recalled) John A,	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
69	9	 (recalled) John L.	Began Service: 1980	Appointed By: President Jimmy Carter	N / A	N / A	N / A	Legal Practice: Parrish, Butcher & Parrish (1951-1954); Attorney, McGuire, Woods, Battle & Boothe LLP (1955-1972); Attorney, McGuire, Woods, Battle & Boothe LLP (1976-1980) Military Service: United States Army Air Corps (1940-1945)	Current Memberships: American Bar Association; American College of Trial Lawyers; Richmond Bar Association; The Virginia Bar Association; Virginia State Bar Staff Law Clerk Sinead O'Doherty ....................... (804) 916-2240 Began Service: 2008 ‘ E-mail: sinead_odoherty@vaed.uscourts.gov Career Law Clerk Deborah Holloman................ (804) 916-2240 E-mail: deborah_holioman@vaed.uscourts. gov Education: Virginia 1986 JD Court Reporter Gilbert Halasz...............2....... (804) 916-2248
