	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
38	0		N / A	N / A	N / A	N / A	N / A	N / A	N / A
308	1	 A. Raymond Randolph	 July 20, 1990 i Jumber of Judgeships: 3	 President George H.W. Bush Mum $ P	N / A	N / A	N / A	N / A	 The American Law Institute; The Bar Association of the District of Columbia; State Bar of California 
247	2	 A. Wallace Tashima	 1995	 President William J. Clinton	N / A	 Deputy Attorney General, United States Department of Justice (1962-1968)	 District Judge, United States District Court for the Central District of California (1980-1995)	 Partner, Morrison & Foerster LLP (1977-1980) Military Service: United States Marine Corps (1953-1955)	 American Bar Association; Los Angeles County Bar Association; State Bar of California 
326	3	 Abdul K. Kallon	N / A	N / A	N / A	N / A	N / A	N / A	N / A
12	4	 Alan D. Lourie	 April 11, 1990	 President George H.W. Bush	N / A	N / A	N / A	N / A	 American Bar Association; American Intellectual _ Property Law Association; Philadelphia Patent Law Association
154	5	 Alan E. Norris	 1986	 President Ronaid Reagan	N / A	 City Prosecutor, City of Westerville, Ohio (1962-1966); State Representative (R-OH), Ohio House of Representatives (1967-1980}	 Judge, Ohio Court of Appeals (1981-1986)	 Attorney, Vorys, Sater, Seymour and Pease LLP (1961-1962}; Partner, Metz, Bailey, Norris & Spicer (1965-1980)	 American Bar Association; American Judicature Society; Columbus Bar Association; Ohio State Bar Association
111	6	 Albert Diaz	 December 22, 2010	 President Barack Obama	N / A	N / A	N / A	N / A	N / A
58	7	 Albert W. Coffrin,	N / A	N / A	N / A	 Assistant U.S, Attorney, Vermont District, Executive Office	N / A	N / A	N / A
205	8	 Alex Kozinski	 November 7, 1985	 President Ronald Reagan	N / A	 Deputy Legal Counsel, Ronald Reagan ‘Transition Team (1980-1981); Assistant Counsel, White House Counsel’s Office, Executive Office of the President, Ronald Reagan Administration (1981); Special Counsei, United States Merit Systems Protection Board (1981-1982)	 Chief Judge, United States Court of Federal Claims (1982-1985)	 Forry, Golbert, Singer & Gelles (1977-1979); Covington &	N / A
230	9	 Alfred T. Goodwin	 1972	 President Richard M. Nixon	N / A	N / A	 Judge, Cregon Circuit Court, Second Judicial District (1955-1960); Associate Justice, Oregon Supreme Court (1960-1969); Judge, United States District Court for the District of Oregon (1969-1971)	 Attorney, Darling, Vonderheit & Goodwin (1951-1955) Military Service: United States Army (1942-1946); United States Army Reserve, United States Department of the Army (1946-1969)	 American Bar Association; American Bar Foundation, American Bar Association; American Judicature Saciety; The American Law Institute; Oregon State Bar Association
137	10	 Alice M. Batchelder	 August 14, 2009	N / A	N / A	N / A	 Bankruptcy Judge, United States Bankruptcy Court for the Northern District of Ohio (1983-1985); District Judge, United States District Court for the Northern District of Ohio (1985-1992)	 Associate, Williams & Batchelder (1971-1983)	 American Bar Association; Federai Bar Association; Federal Judges Association; Medina County Bar Association
106	11	 Allyson K. Duncan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
25	12	 Alvin Anthony Schall	 October 5, 2009	 President George H.W. Bush	N / A	 Assistant United States Attomey, Eastern District of New	N / A	N / A	 The District of Columbia Bar, The New Yorl State Bar Association
108	13	 Andre M. Davis	 November 12, 2009	 President Barack Obama	N / A	 Appellate Attorney, Civil Rights Division, United States Department of Justice (1980-1981); Assistant United States Attorney, District of Maryiand, Office of the United States Attorney, United States Department of Fustice (1981-1983)	 Associate Judge, Circuit Court for Baltimore City (1990-1995) - -	 Associate, Frank, Bernstein, Conaway & Goldman (1983-1984) “ :	 American Bar Association; International Judicial Relations Committee, Judicial Conference of the United States; Maryland State Bar Association, Inc.; Monumental City Bar Association; National Judicial College
245	14	 Andrew J. Kleinfeld	N / A	N / A	N / A	N / A	N / A	N / A	N / A
173	15	 Ann Claire Williams	N / A	N / A	N / A	N / A	N / A	N / A	N / A
81	16	 Anthony J. Scirica	 September 11, 1987	 President Ronald Reagan	N / A	N / A	N / A	N / A	 American Bar Association; American Bar Foundation, American Bar Association; The Ametican Law lastitute; Montgomery Bar Association (PA); Pennsylvania Bar Association
