	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
46	76	 Harry F Barnes	 1993	 President William J. Clinton	N / A	N / A	 Judge, Municipal Court (1975-1982); Judge, Arkansas Circuit Court, 30th Judicial District (1982-1993) :	 Partner, Pryor & Barnes (1964-1966); Partner, Barnes & Roberts (1966-1968); Partner, Gaughan, Laney, Barnes & Roberts (1968-1972); Partner, Gaughan, Laney & Barnes (1978-1982) Military Service: United States Marine Corps (1956-1961); United States Marine Corps Reserve (1964-1986)	 Ametican Bar Association; American Bar : Foundation, American Bar Association; Arkansas Bar Association; Arkansas Judicial Council 
24	77	 Hector C. Estrada	N / A	N / A	N / A	N / A	N / A	N / A	N / A
36	78	 Henry L. Jones, Jr.	N / A	N / A	N / A	 Attorney, Legal Aid Society of Washtenaw County (1970)	N / A	 Partner, Walker, Hollingsworth and Jones (and associate with predecessor firms) (1974-1978)	 American Bar Association; The Judge William R. Overton American Inn of Court, The American Jnns of Court; Arkansas Bar Association; Pulaski County Bar Association; W, Harold Flowers Law Society
197	79	 Howard 6. Turrentine	 April 1970	 President Richard M. Nixon	N / A	 City Prosecutor, Office of the City Attorney, City of San Diego, California (1940-1941); Member, Board of Appeals, Selective Service System (1966)	 Judge, Superior Court of California (1968-1970)	 Private Practice (1945-1968) Military Service: United States Navy, United States Department of Defensé (1941-1945)	 American Bar Association; American Judicature Society; Federal Bar Association
173	80	 Howard R. Lloyd	N / A	N / A	N / A	N / A	N / A	N / A	N / A
185	81	 Irma E. Gonzalez	 August 24, 1992	 President George H.W. Bush	N / A	 Assistant United States Attorney, District of Arizona, United States Department of Justice (1975-1979); Trial Attorney, Antitrust Division, United States Department of Justice (1979); Assistant United . States Attorney, Central District of California, United States Department : of Justice (1979-1981)	 Magistrate Judge, United States District Court for the Southern	N / A	 The American Inns of Court
80	82	 J, Spencer Letts	N / A	N / A	N / A	N / A	N / A	N / A	N / A
39	83	 J. Thomas Ray	 June 28, 2000	N / A	N / A	N / A	N / A	 Partner, Shults & Ray, LLP (1978-2000)	 American Bar Association; The Judge William R. Overton American Inn of Court, The American Inns of Court; Arkansas Bar Association; Arkansas Bar Foundation, Arkansas Bar Association; Pulaski County Bar Association
99	84	 Jacqueline Chooljian	N / A	N / A	N / A	 Assistant U.S. Attorney, Criminal Division, Department of	N / A	N / A	N / A
20	85	 Jacqueline Marshall	 July 11, 2001	N / A	N / A	 Assistant Public Defender, State of Arizona (1987-1990)	N / A	 Law Office of Bertram Polls (1986-1987); Ralls, Fox & Jones, PC (1990-1997)	 Arizona Minority Bar Association; Arizona Women Lawyers Association; Federal Bar Association; State Bar of Arizona
2	86	 James A. Teilborg	 October 17, 2000	 President William J. Clinton	N / A	N / A		 Associate, O’Connor, Cavanagh, Anderson, Westover, Killingsworth & Beshears (1967-1972); Partner, Dunn & Teilborg (1972-1973); Shareholder, Teilborg, Sanders & Parks (1973-2600) Military Service: Colonel, United States Air Force Reserve (1966-1997)	 American College of Trial Lawyers; Colorado Bar Association; Federal Bar Association; Lawyer Pilots Bar Association; Maricopa County Bar Association; State Bar of Arizona 
167	87	 James Larson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
29	88	 James M. Marlar	 December 29, 1993	N / A	N / A	N / A	 Judge Pro Tempore, Arizona Court of Appeals (1986); Judge Pro Tempore, Arizona Superior Court, Maricopa County (1988); Bankruptey Judge, United States Bankruptcy Appellate Panel for the Ninth Circuit (1993-2006)	 James M, Martar, PC.	N / A
64	89	 James V. Selina	 April 30, 2003	 President George W. Bush	N / A	N / A	 Judge, Superior Court of California, County of Orange (1998-2003)	 Associate, O’Melveny & Myers LLP (1970-1977); Partner,	N / A
153	90	 James Ware	N / A	N / A	N / A	N / A	N / A	N / A	N / A
207	91	 Jan M. Adler	 July 8, 2003	N / A	N / A	N / A	N / A	 Jennings, Strouss & Salmon, PL.C. (1978-1982); Associate,	N / A
196	92	 Janis Lynn Sammartino	 September 21, 2007	 President George W. Bush	N / A	N / A	N / A	N / A	N / A
16	93	 Jay R. Irwin	N / A	N / A	N / A	N / A	N / A	N / A	N / A
189	94	 Jeffrey T. Miller	N / A	N / A	N / A	N / A	N / A	N / A	N / A
23	95	 Jennifer C. Guerin	 Aprii 4, 2005	N / A	N / A	 Assistant Chief, Civil Division, Department of Justice; Chief	N / A	N / A	N / A
95	96	 Jennifer FT. Lum	N / A	N / A	N / A	N / A	N / A	N / A	N / A
160	97	 Jeremy D. Fogel	 March 31, 1998	 President Wilhiam J. Clinton	N / A	N / A	 Judge, Municipal Court, Santa Clara County (1981-1986); Judge, California Superior Court, Santa Clara County (1986-1998)	 Member, Smith, Johnson, Fogel & Ramo (1974-1978); Directing Attorney, Mental Health Advocacy Project, Santa Clara County Bar Association Law Foundation, Inc (1978-1981); Executive Director, Santa Clara County Bar Association Law Foundation, Inc (1980-1981)	 California Judges Association; Federal Judges Association, Santa Clara County Bar Association; The State Bar of California
45	98	 Jimm Larry Hendren	N / A	N / A	N / A	N / A	N / A	N / A	N / A
194	99	 John A. Houston	 October 9, 2003	N / A	N / A	 Assistant United States Attorney, Southern District of California, United States Attorney’s Office, United States Department of Justice, Ronald Reagan Administration (1981-1998)	 Magistrate Judge, United States District Court (1998-2003)	N / A	N / A
102	100	 John Charles Rayburn,	N / A	N / A	N / A	N / A	N / A	N / A	N / A
137	101	 John F Moulds	 January 6, 1986	N / A	N / A	 Administrative Assistant, California Senate (1961-£963}; Attorney, California Rural Legal Assistance, inc. (1966-1968); Directing Attorney, Sacramento Valley Office, California Rural Legal Assistance, Inc. (1968-1969)	 Magistrate Judge (part-time), United States District Court for the Eastern District of California (1983-1986)	 Partner, Isenberg, Moulds & Samuel (1969-1985)	 American Bar Association; Federal Bar Association; Federal Magistrate Judges Association; Sacramento County Bar Assocaition; The State Bar of California 
60	102	 John F Walter	 May 1, 2002	N / A	N / A	 Assistant United States Attorney, Central District of	N / A	N / A	N / A
38	103	 John F. Forster, Jr.	 March 14, 1986 ‘	N / A	N / A	 Deputy Prosecuting Attorney, Sixth Judicial District, State of	N / A	 Private Practice (1969-1972); Private Practice (1978-1986)	 American Board of Criminal Lawyers; The Judge William R, Overton American Inn of Court, The American Inns of Court; Arkansas Bar Association; Memphis Bar Association; Pulaski County Bar Association
208	104	 John J. Hargrove	N / A	N / A	N / A	N / A	N / A	N / A	N / A
172	105	 Joseph C. Spero	 March 13, 1999	N / A	N / A	N / A	N / A	 Coblentz, Cahen, McCabe & Breyer (1984-1999)	N / A
112	106	 Kathleen Thompson	 April 4, 1988	N / A	N / A	N / A	N / A	 Associate Attorney, Gibson, Dunn & Crutcher (1982-1988)	 Los Angeles Bankruptcy Forum, National Conference of Banlauptey Judges
191	107	 Larry Alan Burns	 September 29, 2003	 President George W. Bush	N / A	 Deputy District Attorney, Office of the District Attorney, County of San Diego, California (1979-1985); Assistant United States : Attorney, Southern District of California, United States Attorney’s Office, ' United States Department of Justice, Ronald Reagan Administration : (1985-1997)	 Magistrate Judge, United States District Court for the Southern	N / A	 American Board of Trial Advocates; American : College of Trial Lawyers
15	108	 Lawrence 0. Anderson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
130	109	" Lawrence J. O""Neill"	N / A	N / A	N / A	N / A	N / A	N / A	N / A
134	110	 Lawrence KC. Karlton	 1979	 President Jimmy Carter	N / A	N / A	 Judge, California Superior Court, Sacramento County (1976-1979)	 Private Practice (1962-1964); Partner, Karlton & Blease (1964-1974); Partner, Karlton, Blease & Vanderlaan (1971-1976) Military Service: United States Army (1958-1960); Civilian Legal Officer, United States Department of the Army (1960-1962)	 American Bar Association; American Inns of Court Foundation, The American Inns of Court; Federal Bar Association; Federal Judges Association; Ninth Circuit District Judges Association; The State Bar of California
200	111	 Leo S. Papas	N / A	N / A	N / A	N / A	N / A	N / A	N / A
32	112	 Leon Holmes	N / A	N / A	N / A	N / A	N / A	N / A	N / A
180	113	 Leslie J. Tchaikovsky	 Apri! 14, 1988	N / A	N / A	N / A	N / A	 Dinkelspiel, Pelavin, Steefel & Leavitt (1977-1980);	N / A
201	114	 Louisa S Porter	 June 19, 199]	N / A	N / A	N / A	N / A	 Private Civil Trial Practice (1977-1991)	 The American Inns of Court; Federal Magistrate Judges Association
203	115	 Louise DeCarl Adler	N / A	N / A	N / A	N / A	N / A	N / A	N / A
50	116	 Manuel L. Real	 November 13, 1966 Appoited By: President Lyndon B. Johnson Political Affiliation: Democrat Government: Assistant United States Attorney, Southern District of California, United States Department of Justice (1952-1953); United States Attorney, Southern District of California, United States Department of Justice (1964-1966) Legal Practice: Private Practice (1955-1964) — Mititary Service: United States Navy (1943-1945) Current Memberships: American Bar Association; American Judicature Society; Federal Bar Association; Los Angeles County Bar Association; The State Bar of California Staff Law Clerk Dylan Hale ....... 0000. 0c cc eee (213) 894-5267 	 President Ronald Reagan	N / A	 Assistant United States Attorney, Southern District of	N / A	 Private Practice (1955-1964) — Mititary Service: United States Navy (1943-1945)	 American Bar Association; American Judicature Society; Federal Bar Association; Los Angeles County Bar Association; The State Bar of California 
92	117	 Marc L. Goldman	 July 2, 2001	N / A	N / A	 Attorney, Office of the State Appellate Defender, State of Michigan (1973-1974); Attorney, Office of the Public Defender, County of Washtenaw, Michigan (1974-1976); Assistant United States Attorney, Eastern District of Michigan, United States Department of Justice, Ronald Reagan Administration (1980-1983}	 Magistrate Judge, United States District Court for the Eastern	N / A	 Federal Bar Association; Federal Magistrate Judges Association; State Bar of Michigan
91	118	 Margaret A. Nagle	 1997	N / A	N / A	N / A	N / A	 Associate, Goodwin, Proctor & Hoar (1975-1978);	N / A
55	119	 Margaret M. Morrow	N / A	N / A	N / A	N / A	N / A	N / A	N / A
75	120	 Mariana R. Pfaelzer	 1978	 President Jimmy Carter	N / A	N / A	N / A	 Wyman, Bautzer, Rothman & Kuchel (1957-1978)	 American Bar Association; Los Angeles County Bar Association
152	121	 Marilyn Hall Patel	 1980	 President Jimmy Carter	N / A	 Attorney, Immigration and Naturalization Service, United States Department of Justice (1967-1971)	 Judge, Alameda County Municipal Court (1976-1980)	 Benson & Mortis (1963-1964); Corporation Trust Company (1964-1967); Private Practice (1964-1967); Private Practice (1972-1976)	 American Bar Association; American Judicature Society; National Association of Women Judges
186	122	 Marilyn L. Huff	 May 14, 1991	 President George H.W. Bush	N / A	N / A	 Chief Judge, United States District Court for the Southem District of California (1998-2004); President, American Inns of Court, Lewis M. Welsh Chapter; Chairperson, Judicial Conference Statistics Subcommittee: Member, Judicial Conference Judicial Resources Committee	 Associate, Gray, Cary, Ames & Frye (1976-1983); Partner, Gray, Cary, Ames & Frye (1983-1991)	 American Bar Association; American Board of Trial Advocates; The Louis M. Welsh American Inn of Court, The American Inns of Court; California Women Lawyers; Lawyers Club of San Diego; San Diego Bar Foundation; The State Bar of California
181	123	 Marilyn Morgan	 June 16, 1988	N / A	N / A	N / A	N / A	 Partner, Morgan & Towery (1979-1983)	N / A
21	124	 Mark E. Aspey	 March 18, 2005	N / A	N / A	N / A	N / A	N / A	N / A
159	125	 Martin J. Jenkins	 November 9, 1997	 President William J. Clinton	N / A	 Deputy District Attorney, Office of the District Attorney, County of Alameda, California (1980-1983); Trial Attorney, Civil Rights Division-Criminal Section, United States Department of Justice, Ronald Reagan Administration (1983-1985)	 Judge, Oakland-Piedmont-Emeryville Municipal Court (1989-1992); Judge, California Superior Court, Alameda County (1992-1997) ,	 General Litigation Department, Legal Department, Pacific Bell Company (1985-1989)	 The American Inns of Court; Charles Houston Bar Association
3	126	 Mary H. Murguia	 December 2000	N / A	N / A	 Assistant District Attorney, Office of the District Attorney,	N / A	N / A	N / A
122	127	 Maureen A. Tighe	 November 2003	N / A	N / A	 U.S. Trustee, Region 16, Department of Justice; Assistant	N / A	 Sullivan & Cromwell (1986-1983)	 American Bankruptcy Institute; Los Angeles Bankruptcy Forum; Los Angeles County Bar Association
156	128	 Maxine M. Chesney	N / A	N / A	N / A	N / A	N / A	N / A	N / A
118	129	 Meredith Jury	N / A	N / A	N / A	N / A	N / A	N / A	N / A
142	130	 Michael S.	 January 11, 1994	N / A	N / A	N / A	N / A	 Associate, Morris & Polich (1978-1979); Partner, Diepenbrock, Wulff, Plant & Hannegan (1979-1994)	 American Bankruptcy Institute; National - Conference of Bankruptcy Judges; Sacramento Valley Bankruptcy Forum; The State Bar of California
114	131	 Mitchel R. Goldberg	N / A	N / A	N / A	N / A	N / A	N / A	N / A
129	132	 Morrison C. England, Jr.	 August 2, 2002	 President George W. Bush	N / A	N / A	 Judge, Sacramento Superior Court for the State of California (1996-2002)	 Partner, Quattrin Clemons & England (1983-1988); Partner,	N / A
177	133	 Nandor J. Vadas	N / A	N / A	N / A	N / A	N / A	N / A	N / A
187	134	 Napoleon A. Jones, Jr.	 September 19, 1994	 President William J. Clinton	N / A	 Foster Home Placement, Public Welfare Department, County of Santa Clara, California (1966-1967)	 Judge, San Diego Municipal Court (1977-1982); Judge, California Superior Court, San Diego Judicial District (1982-1989); Presiding Judge, California Superior Court, Juvenile Court Division, San Diego Judicial District (1989-1992); Judge, California Superior Court, Criminal Division (1992-1994)	 Staff Attorney, California Rural Legal Assistance	N / A
8	135	 Neil	N / A	N / A	N / A	N / A	N / A	N / A	N / A
204	136	 Nita L. Stormes	N / A	N / A	N / A	N / A	N / A	N / A	N / A
100	137	 Oswaid Parada	N / A	N / A	N / A	N / A	N / A	N / A	N / A
71	138	 Otis D. Wright, Il	N / A	N / A	N / A	N / A	N / A	N / A	N / A
169	139	 Patricia V. Trumbull	 1987	N / A	N / A	 Federal Public Defender, Northern District of California	N / A	N / A	 Charles Houston Bar Association; San Francisco Bar Association
94	140	 Patrick J. Walsh	N / A	N / A	N / A	N / A	N / A	N / A	N / A
13	141	 Paul G. Rosenblatt	 1984	 President Ronald Reagan	N / A	 Assistant Attorney General, Office of the Attorney General, United States Department of Justice (1963-1966); Administrative Assistant, U.S. Representative Sam Steiger (R-AZ, District 3), United States House of Representatives (1967-1972)	 Presiding Judge, Arizona Superior Court, Yavapai County (1973-1984)	 Private Practice (1971-1973)	N / A
97	142	 Paul L. Abrams	N / A	N / A	N / A	N / A	N / A	N / A	N / A
61	143	 Percy Anderson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
205	144	 Peter C. Lewis	 June 28, 2004	N / A	N / A	 Trial Attomey, Civil Division, United States Department	N / A	N / A	 American Bankruptcy Institute; American College of Bankruptcy; ENSOL international; National Conference of Bankruptcy Judges; San Diego Bankruptey Forum; San Diego County Bar Assaciation
121	145	 Peter H. Carroll	 August 1, 2002	N / A	N / A	 Assistant U.S. Trustee, Fresno (CA) Field Office, United	N / A	 Shareholder, Brite & Drought (1976-1993)	 American Bankruptcy Institute; National Conference of Bankruptcy Judges
70	146	 Philip S. Gutierrez	 February 2007	 President George W. Bush	N / A	N / A	 Judge, Los Angeles County Superior Court (1997-2007)	 Associate, LaFollette, Johnson, DeHaas, Fesler & Ames	N / A
162	147	 Phyllis J. Hamilton	 July 7, 2000	 President William J. Clinton	N / A	 Deputy Public Defender, State of California (1976-1980)	 Administrative Judge, San Francisco Regional Office, Merit	N / A	 California Women Lawyers; Charles Houston Bar Association; National Association of Women Judges
62	148	 R. Gary Klausner	N / A	N / A	N / A	N / A	N / A	N / A	N / A
82	149	 Ralph Zarefsky	N / A	N / A	N / A	N / A	N / A	N / A	N / A
1	150	 Raner C. Collins	 August 19, 1998	 President William J. Clinton	N / A	 Law Clerk, Office of the County Attorney, County of Pima, Arizona (1975-1976), Trial Attorney, Office of the County Attorney, County of Pima, Arizona (1976-1981); City Magistrate, City of Tucson, Arizona (1981-1983); Attorney, Office of the County Attomey, Civil Division, County of Pima, Arizona (1983-1985)	 Judge Pro Tempore, Pima County Superior Court (1985-1988);	N / A	 Arizona Minority Bar Association; State Bar of Arizona
26	151	 Redfield T.	 1990	N / A	N / A	N / A	N / A	N / A	N / A
43	152	 Richard D. Taylor	 January 2003	N / A	N / A	N / A	N / A	 Friday Eldridge & Clark (1980-2002)	 Arkansas Bar Association; Washington County Bar Association 
124	153	 Richard M. Neiter	 February 8, 2006	N / A	N / A	N / A	 Central Mediator of Disputes, United States Bankruptcy Court for.”	N / A	 Section of Business Law, American Bar Association; Los Angeles County Bar Association; The State Bar of California
174	154	 Richard Seeborg	N / A	N / A	N / A	N / A	N / A	N / A	N / A
131	155	 Robert E. Coyle	 May 13, 1982	 President Ronald Reagan	N / A	 Assistant District Attorney, State of California (1956-1957)	N / A	 Partner, McCormick, Barstow, Sheppard, Wayte & Carruth LLP (1958-1982)	 Fresno County Bar Association; The State Bar of California
73	156	 Robert J. Kelleher	 1971	 President Richard M. Nixon	N / A	 Assistant U.S. Attorney, California - Central District,	N / A	 Partner, Baker & Kelleher (1945-1948); Partner, Watling & Kelleher (1948-1951); Attorney, Private Practice (1951-1970) Military Service: United States Naval Reserve (1943-1945)	 American Bar Association; American Judicature Society; Federal Bar Association; Los Angeles County Bar Association; The State Bar of California ‘
74	157	 Robert M. Takasugi	 July 6, 1976	 President Gerald Ford	N / A	N / A	N / A	 Senior Partner, VeLarde & Takasugi (1960-1973) Military Service: United States Army (1953-1955)	 Federal Judges Association
87	158	 Robert N. Block	 -1995	N / A	N / A	N / A	 Chief Magistrate Judge, United States District Court for the	N / A	N / A
110	159	 Robert N. Kwan	 February 2007	N / A	N / A	 Assistant US. Attorney, Tax Division, California - Central	N / A	N / A	N / A
147	160	 Robert S. Bardwil	 July 2005	N / A	N / A	N / A	N / A	N / A	N / A
111	161	 Robin L. Riblet	 March 30, 1988	N / A	N / A	N / A	N / A	 Stutman, Treister & Glatt (1979-1988)	 American College of Bankruptcy; California Bankruptcy Forum; Federal Bar Association; Financial Lawyers Conference . Of Southern California; Los Angeles County Bar Association; Santa Barbara Bar Association
12	162	 Roger G. Strand	N / A	N / A	N / A	N / A	N / A	N / A	N / A
184	163	 Roger L. Efremsky	 August 2006	N / A	N / A	N / A	N / A	N / A	N / A
195	164	 Roger T. Benitez	 June 2004	 President George W. Bush	N / A	N / A	 Superior Court Judge, Imperial County (1997-2001); Magistrate	N / A	N / A
155	165	 Ronald M. Whyte	 1992	 President George H.W. Bush	N / A		 Judge, California Superior County, Santa Clara County (1989-1992)	 Nichols, Stead, Boileau & Lamb (1967-1968); Attorney, Hoge, Fenton, Jones & Appel, Inc, (1971-1989) Military Service: United States Naval Reserve (1968-1971)	 American Bar Association; The American Inns of Court; Northern California Chapter, Association of Business ‘Trial Lawyers; California Judges Association; Federal Judges Association; San Francisco Bay Area intellectual Property Inn of Court; Santa Clara County Bar Association; The State Bar of California 
81	166	 Ronald S. W. Lew	 May 7, 1987	 President Ronald Reagan	N / A	 Deputy City Attorney, City of Los Angeles, California	N / A	 Partner, Avans & Lew (1974-1981) Military Service: United States Army (1967-1969)	 California Asian Judges Association; Southern California Chinese Lawyers Association 
88	167	 Rosalyn M. Chapman	N / A	N / A	N / A	N / A	N / A	N / A	N / A
199	168	 Ruben B.	 September 2, 1993	N / A	N / A	N / A	N / A	N / A	N / A
63	169	 S. James Otero	 February 28, 2003	 President George W. Bush	N / A	 Law Clerk/Attorney, Office of the City Attorney, City of tag Angeles, California (1976-1987}	 Judge, Municipai Court of Los Angeles County, California	N / A	N / A
163	170	 Samuel Conti	 1970	 President Richard M. Nixon.	N / A	 Assistant City Attorney, Office of the City Attorney, City : of Concord, California (1960-1965); City Attorney, Office of the City Attorney, City of Concord, California (1965-1967)	 Judge, Superior Court of California (1967-1970)	 Partner, Coll & Conti (1948-1950); (1948-1960) ’ Military Service: United States Army (1942-1944)	 American Bar Association; Contra Costa County Bar Association: The State Bar of California
109	171	 Samuel L. Bufford	N / A	N / A	N / A	N / A	N / A	N / A	N / A
135	172	 Sandra M.	N / A	N / A	N / A	 Deputy District Attorney, Fresno County, State of California (1980-1981)	 Judge, Fresno County Municipal Court (1989-1991); Judge, California Superior Court, Fresno County (1991-1993)	 Private Practice (1976-1978); Partner, Nagel, Nagel & Snyder (1981-1989)	 Federal Magistrate Judges Association; Fresno County Women Lawyers Association FEDERAL COURTSUNITED STATES DISTRICT COURTS 
27	173	 Sarah Sharer Curley	 October i, 1986	N / A	N / A	N / A	 Judge Pro Tempore, United States Bankruptcy Appellate Panel of the Ninth Circuit; Chief Bankruptcy Fudge, United States Bankruptcy Court for the District of Arizona (2002-2005)	 Associate Attorney, Otterbourg, Steindler, Houston & Rosen, P.-C. (1979-1982), Legal Counsel, First Wisconsin Corporation (1982-1986)	 National Association of Women Judges
154	174	 Saundra Brown	N / A	N / A	N / A	N / A	N / A	N / A	N / A
120	175	 Sheri Bluebond	 February 1, 2001	N / A	N / A	N / A	N / A	 Associate, Gendel, Raskoff, Shapiro & Quittner (1983-1991); Shareholder, Murphy, Weir & Butler (1991-1995), Partner, Trell & Manella LLP (1995-2001) :	 American Bankruptcy Institute; American Bar Association; Financial Lawyers Conference of Southern California; Los Angeles Bankruptcy Forum; Los Angeles County Bar Association
