	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
264	0	 (Recalled). Leslie G	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
298	1	 (part-time) Alice R.	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
130	2	 (part-time) Anthony R.	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
128	3	 (part-time) Edward R.	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
154	4	 (part-time) Kea Riggs	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
199	5	 (part-time) Larry A	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
246	6	 (part-time) Martin fi	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
5	7	 (part-time) Mary Kay	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
153	8	 (part-time) Robert W.	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
74	9	 (recailed) John L.	Began Service: May 1987	Appointed By: President Ronald Reagan	N / A	N / A	N / A	Legal Practice: Associate, Felhaber, Larson, Fenlon & Vogt, PA. (1961-1962); Partner, Popham, Haik, Schnobrich, Kaufman and Doty Ltd. (1962-1987) Military Service: United States Marine Corps (1952-1938)	Current Memberships: American Bar Association; American Judicature Society; The American Law Institute; Federal Bar Association; Hennepin County Bar Association; Minnesota State Bar Association Staff Law Clerk Shaun M. Pettigrew ................2000. (612) 664-5061 Began Service: 2007 Term Expires: 2009 E-mail: shaun_pettigrew@mnd_uscourts.gov Law Clerk Michael D. Reif. .........-..... 0.20 eee ees (612) 664-5062 Began Service: 2006 Term Expires: 2008 E-mail: michael_reif@umd.uscourts.gov Education: Minnesota 2006 JD
