	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
205	0	 (Recalled) Irvin N.	 October 2, 1987	N / A	N / A	 State’s Attorney, Beadle County, South Dakota (1972-1974)	 Judge, South Dakota Circuit Court (1975-1987); Bankruptcy Judge, United States Bankruptcy Court for the District of South Dakota (1987-2006)	 Churchill, Manolis & Hoyt, Attorneys at Law (1965-1970);	N / A
230	1	 (Recalled) Joe B.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
108	2	 (Recalled) M. Faith	 May 14, 1990	N / A	N / A	N / A	N / A	N / A	 Academy of Certified Social Workers; Federal Magistrate Judges Association; National Association of Women Judges; Philadelphia Bar Association
110	3	 (Recalled) Peter B. -	 December 11, 1974	N / A	N / A	N / A	N / A	N / A	 Philadelphia Bar Association
109	4	 (Recalled} Arnold C.	 1975	N / A	N / A	N / A	N / A	N / A	 American Bar Association; Pennsylvania Bar Association
204	5	 (part-time) Carlyle .	 August 2008	N / A	N / A	N / A	N / A	N / A	N / A
154	6	 (part-time) Keith A.	 1994 ;	N / A	N / A	N / A	N / A	N / A	N / A
65	7	 (part-time) Patricia:	 September 2005	N / A	N / A	N / A	N / A	N / A	N / A
288	8	 (part-time) Robert K.	 April 1980	N / A	N / A	N / A	N / A	N / A	 American Bar Association; College of the State Bar of Texas; State Bar of Texas; Wichita Bar Association 
193	9	 (part-time) Robert L.	 May 6, 2002	N / A	N / A	 Assistant U.S. Attomey, District of South Carolina, United Political Afiliation:: Independent	N / A	N / A	 Aiken County Bar Association; American’ +». Association for Justice; American Bar Association; American Judicature’ Me Society; South Carolina Bar Association; South Carolina Trial Lawyers” Association
369	10	 (part-time) Robert T, pe Expires: 2016 Academic: Professey, Wertiont Lay Sehool . Office of the United States Attorney, United States Department of Justice =	N / A	N / A	N / A	 Public Defender, Office of the Public Defender, County of (1976-1982) - |	N / A		 Connecticut Bar Association; The District of = | Tel: (435) 652-9704 ext. 28 —— / a, = / Career Law Clerk Mike Coffman. ........ se eieaand Ses (BOL) 524-5749 Legal Practice: Sessions, Keiner, Dumont & Barnes (and predecessor firms) Columbia Bar Association; Vermont Bar Association E | = Eemail: Tobert_braithwaite@utd.uscourts.gov . a Education: Duke 2000°BA; Harvard 2003. ID: a! Lt (1978-1995) . : a or “ a it ¥eds Career Law. Clerk Heather Schriever.............,... (801).524-5749 Be 
47	11	 (part-time) Shon T,	 June 1, 1995	N / A	N / A	N / A	N / A	N / A	N / A
202	12	 (part-time} Mark A.	 February 1, 1993	N / A	N / A	N / A	N / A	N / A	 Nebraska State Bar Association; State Bar of South Dakota - |... “as ,
161	13	 (recailed) Warren W.	 March 22, 1985 :	 President Ronald Reagan	N / A	 Borough Solicitor, Office of the Borough Solicitor	N / A	 Private Practice (a 954-1985} Military Service: United States Naval Reserve (1943-1946)	 American Bar Association; American Judicature Society; Erie County Bar Association (PA}; Pennsylvania Bar Association
239	14	 (recalled) Gerald 8.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
167	15	 (recalled) Jacob Hagopian.	 1971 .	N / A	N / A	N / A	N / A	N / A	 American Judges Association; United States Magistrate Judges Committee, Federal Bar Association; National Defense University Foundation; Naval War College’Foundation
66	16	 (recalled) John	 July 11, 1991	N / A	N / A	N / A	N / A	N / A	N / A
155	17	 (recalled) Robert C,	 February 17, 1972	N / A	N / A	N / A	N / A	N / A	 Allegheny County Bar Aasociation; American Bar Association; American Judicature Society; National Council of United States Magistrates _
171	18	 (recalled) Robert W. |	N / A	N / A	N / A	N / A	N / A	N / A	N / A
280	19	 A. Joe Fish	 March 11, 1983	 President Ronald Reagan	N / A	N / A	N / A	N / A	 American Bar Association; Dallas Bar Association; State Bar of Texas
124	20	 A. Richard Caputo	 December 15, 1997	 President William F. Clinton	N / A	N / A	N / A	 Shea, Shea & Caputo (1968-1997) Military Service: United States Air Force (1963-1967) Nonprofit: Director and Secretary/Treasurer, The Luzerne Foundation (1994-1997) i	 American Bar Association; Federal Bar / Association; Luzeme County Law and Library Association; Pennsylvania : Bar Association
149	21	 Alan N. Bloch	 November 21, 1979	 President Jimmy Carter	N / A	N / A	N / A	 Wirtzman, Sikov & Love (1959- 1969); Parmer Flaherty & Bloch (1969-1979) Military Service: United States Army (1953-1955); Pennsylvania Army National Guard (1955-1959); United States Air Force Reserve (1959-1963)	 ‘Academy of Trial Lawyers of Allegheny County; American Bar Association’
67	22	 Albert E. Radcliffe	 December 1983	N / A	N / A	N / A	N / A	 Private Practice (1973- 1986} Military Service: United States Army (1967-1977)	 Lane County Bar Association; National Continence of Bankruptcy Judges; Oregon State Bar Association
2	23	 Algenon L. Marbley	N / A	N / A	N / A	N / A	N / A	N / A	N / A
336	24	 Alia M. Ludlum	N / A	N / A	N / A	N / A	N / A	N / A	N / A
152	25	 Amy Reynolds Hay	N / A	N / A	N / A	N / A	N / A	N / A	N / A
310	26	 Andrew S. Hanen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
349	27	 Andrew W. Austin	N / A	N / A	N / A	N / A	N / A	N / A	N / A
198	28	 Andrew W. Bogue	 May 1, 1970	 President Richard M. Nixon	N / A	 State’s Attomey, Turner County, State of South Dakota (1952-1954)	 Judge, South Dakota Circuit Court, Second Judicial Circuit (1967-1970)	 Partner, Bogue & Bogue (1947-1957); Partner, Bogue & Zimmer (1954-1957); Private Practice (1957-1959); Partner, Bogue & Rudolph (1959-1967) Military Service: United States Army (1943-1946); United States Amy (1950-1952} ‘	 Federal Judges Association; Pennington County , Bar Association; State Bar of South Dakota
74	29	 Anita B. Brody	 1992	 President George H.W. Bush	N / A	 Law Apprentice and Deputy Assistant Attornny General, State of New York (1958-1959)	 Judge, Pennsylvania Court of Common Pleas, 38th Judicial District (1981-1992)	 Duryea, Lazalere & Hepburn (1973-1979); Exivate Practice (1979-1980); Partner, Brody, Brown & Hepburn (1980-1981) — Nonprofit: Member, Board of Visitors, Columbia Law School, Cotuedtte ‘ University (2004-2006)	 The Temple American Ini of Court, The American Inns of Court; American Judicature Society; The American Law Institute; National Association of Women Judges; Pennsylvania Bar Association -
52	30	 Ann L. Aiken	 1998 °	 President Wilkam J. Clinton	N / A	 Chief Clerk, Oregon House of Representatives (1982-1983)	 Judge, Lane County District Court (1988-1992); mee Lane County Circuit Court (1993-1997)	 Associate Attorney, Sablstram & Dugdale, PC (1980-1982); Associate Attorney, Thorp, Denett, Purdy, Golden & Jewett, PC (1983-1988) oO	 Lane County Bar Association; Lane County. Women Lawyers Association; Oregon State Bar Association; a; Oregon Women Lawyers 
54	31	 Anna J. Brown	 October 27, 1999	 President William J. Clinton	N / A	N / A	 District Court Judge, Multnomah County (1992-1994); Circuit Court Judge, Mulmomah County (1994-1999)	 Associate, Bullivant, Houser, Bailey, Pendergrass and Hoffman (£980-§986); Partner, Builivant, Houser, Bailey, Pendergrass and Hoffman. (1986-1992)	 American Bar Association; The Gus J. Solomon American Inn of Court, The American Inns of Court; Federal Bar Association; Multnomah County Bar Association; Oregon State Bar Association; Oregon Women Lawyers; United States District Court of Oregon Historical Society
384	32	 Anthony John Trenga	N / A	N / A	N / A	N / A	N / A	N / A	N / A
144	33	 Arthur J. Schwab	N / A	N / A	N / A	N / A	N / A	N / A	N / A
172	34	 Arthur N. Votolato	 June 25, 1968	N / A	N / A	 Chief Special Counsel, Department of Public Works, State of Rhode Island (1962-1968)	 Chief Judge, Member, First Circuit Bankruptcy Appellate Panei (1986-1983); Chief Bankruptcy Judge, United States Bankruptcy Appellate Panel for the First Cireuit	 Partner, Votolato & Votolate (1956-1962) Military Service: United States Marine Corps Reserve (1949-1950); United States Air Force (1950-1951).	 Federal Bar Association; Rhode Island Bar Association 
343	35	 B. Dwight Goains	 2007	N / A	N / A	N / A	N / A	N / A	N / A
321	36	 B. Janice Ellington	N / A	N / A	N / A	N / A	N / A	N / A	N / A
289	37	 Barbara J:	N / A	N / A	N / A	N / A	N / A	N / A	N / A
274	38	 Barbara M, G. Lynn	N / A	N / A	N / A	N / A	N / A	N / A	N / A
77	39	 Berle M. Schiller	 June 6, 2000	 President William J. Clinton	N / A	 Deputy Director of Personnel, Commonwealth of Pennsylvania; Deputy Attorney General, Office of the Attorney General, Commonwealth of Pennsylvania (1971-1972); Chief Counsel, Federal Transit Administration, United States Department of Transportation (1994-1996) ,	 Judge, Superior Court of Pennsylvania (1996-2000)	 Associate, Blank Rome Comisky & McCauley LLP (1968-1969); Partner, Astor, Weiss, Kaplan & Rosenblum (1972-1993) Military Service: Officer United States Army Reserve, United States. Department of the Army (1968); Captain, Pennsylvania National Guard (1972)	 American Bar Association; Executive Committee, American Bar Association
234	40	 Bernice B. Donald	 January 1996	 President William F. Clinton	N / A	 Staff Attorney, Memphis Area Laval Services, Ine. (1980); Assistant Public Defender, Office of the Public Defender, State of Tennessee (1980-1982}	 Judge, Tennessee General Sessions Criminal Court (1 982-1988); Faculty, Federal Judicial Center; Bankrupicy Judge, United States Bankruptcy Court for the Western District of Tennessee (1988-1995)	 Sole Practitioner (1979-1980)	 American Association for Justice; American Bar Association; American Bar Foundation, American Bar Association; Association of Women Attorneys; International Women’s Forum; Memphis Bar Association; National Association of Women Judges; National Bankruptcy Conference; National Bar Association; National Judicial College; Tennessee Bar Association
264	41	 Bil! Parker	 October 30, 1998	N / A	N / A	 Assistant United States Trustee, Eastern District of Texas, . ,	N / A	 Associate, Smead Anderson Wilcox & Dunn (1985- 1987);	N / A
265	42	 Brenda T. Rhoades	 September 1, 2003	N / A	N / A	N / A	N / A	N / A	N / A
186	43	 Bristow Marchant	 September 1, 1992	N / A	N / A	N / A	N / A	N / A	N / A
367	44	 Brooke C. Weils	N / A	N / A	N / A	N / A	N / A	N / A	N / A
119	45	 Bruce 1. Fox	 1986	N / A	N / A	N / A	N / A	N / A	N / A
187	46	 Bruce H. Hendricks	 May 6, 2002	N / A	N / A	 Assistant U.S. Attorney, District of South Carolina, United	N / A	N / A	N / A
363	47	 Bruce S. Jenkins	N / A	N / A	N / A	N / A	N / A	N / A	N / A
86	48	 Bruce W. Kauffman, Supreme	N / A	N / A	N / A	 Assistant District Attorney, Office of the District Attorney, ze	N / A	 Attorney, Private Practice (1983-1997)	N / A
103	49	 Bruce W. Kauffman, United States _	N / A	N / A	N / A	N / A	N / A	N / A	N / A
216	50	 C. Clifford Shinleyes! Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
89	51	 C. Darnell Jones EH	N / A	N / A	N / A	N / A	N / A	N / A	N / A
22	52	 C. Kathryn Preston eours = eat ‘ ,	N / A	N / A	N / A	N / A	N / A	N / A	N / A
183	53	 C. Weston Houck	N / A	N / A	N / A	N / A	N / A	N / A	N / A
315	54	 Calvin Botley	 October 31, 1979 -	N / A	N / A	 Assistant District Attorney, State-of Texas (1972-1973);	N / A	N / A	 American Bar Association: College of the State Bar of Texas; Federal Magistrate Judges Association; Houston Bar Association; Houston Bar Foundation, Houston Bar Association; Houston Lawyers Association; Texas Bar Foundation, State Bar of Texas :
176	55	 Cameron McGowan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
111	56	 Carol Sandra Moore.	 June 3, 1996	N / A	N / A	 Senior Attciney, Law Department, City of Philadelphia, :	N / A	 Law Clerk/Office Manager, Nichols, Nichols, Clark & New Kark (1978-1984); Associate Attorney, came Meet, Hahn & Reich, PC. (1985-1987)	 The Temple American Inn of Court, The American Inns of Court; Federal Bar Association; Federal Magistrate -* <- Judges Association; National Association of Women Judges; National Bar Association; Philadelphia Bar Association
259	57	 Caroline M. Craven	 May 26,1998	N / A	N / A	N / A	N / A	 Patton, Haltom, I Roberts, McWilliams & Greer, LLP	N / A
197	58	 Charles B. Kornmann	 May 1995	 President Wiiliam J. Clinton	N / A	N / A	N / A	N / A	 American Board of Trial Advocates; Brown’ County Bar Association (SD); State Bar of South Dakota; South Dakota Bar Foundation, State Bar of South Dakota
285	59	 Charles Bleil	 May 3, 1996	N / A	N / A		 Judge, Texas District Court (1978-1981); Judge, Texas Court of	N / A	 American Bar Association; Lubbock County Bar Association; Lubbock County Women:Lawyers Association; Texas Bar © Leadership Directories, Inc.
263	60	 Charles Everingham	 April 2007	N / A	N / A	N / A	N / A	N / A	N / A
206	61	 Charles L. Nail, Jr.	 2006	N / A	N / A	N / A	N / A	N / A	N / A
17	62	 Charles M. .	N / A	N / A	N / A	N / A	N / A	N / A	N / A
126	63	 Christopher C. Conner	 August 2, 2002	 President George W. Bush	N / A	N / A	N / A	 Associate, Mette, Evans & Woodside (1982-1988);	N / A
30	64	 Claire V. Eagan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
362	65	 Clark	 February 28, 2007	N / A	N / A	N / A	N / A	N / A	N / A
282	66	 Clinton E. Averitte	N / A	N / A	N / A	N / A	N / A	N / A	N / A
372	67	 Colleen A. Brown	N / A	N / A	N / A	N / A	N / A	N / A	N / A
207	68	 Curtis L. Collier	N / A	N / A	N / A	N / A	N / A	N / A	N / A
79	69	 Cynthia M. Rufe	 June 10, 2002°	N / A	N / A	 Assistant Public Defender, Office of the Public Defender, ° County of Bucks, Pennsylvania (1977-1982); Deputy. Public Defender, . Office of the Public Defender, County of Bucks, Pennsylvania’. + (1980-1981); Solicitor, Children: & Youth Social Services Agency, County of Bucks, Pennsylvania (1984-1988) “	 Fudge, Bucks County Court of Common Pleas (1994-2002)	N / A	N / A
291	70	 D. Michael Lynn |	 September 18, 2001	N / A	N / A	N / A	N / A	 Stutzman & Bromberg; Weil, Gotshal & Manges;	N / A
360	71	 Dale A. Kimball .	 November 24, 1997	 President William J. Clinton	N / A	N / A	 Chairman, Judicial Performancé Evaluation Review; Master of the Bench, American Inns of Court; Chairman, Utah State. Bar Ethics and Discipline Committee; Chairman, Utah State Bar Committee on the: Unauthorized Practice of Law	 Associate then Partner, VanCott, Bagley, Cornwall & McCarthy (1967-1974); Senior Partner, Kimball, Parr, Waddoups, Brown: & Gee (1975-1997) Military Service: Utah Air National Guard (1957-1964) Nonprofit: Director, Board of Directors, Jordan Education Foundation	 American Bar Foundation, American Bar Association; Utah Chapter, Federal Bar Association :
36	72	 Dana L. Sake)	 1907	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptcy Court for the	N / A	N / A
334	73	 David Briones ;	 October 17, 1994	 President William F.. Clinton	N / A	N / A	 Judge, County Court at Law No. 1 (1991-1994)	 Partner, Moreno and Briones, Attorneys at Law (1971-1991) Military Service: United States Army (1964-1966)	 Federal Judges Association; Mexican American Bar Association; State Bar of Texas; Texas Bar Foundation, State Bar of Texas
275	74	 David C. Godbey	 August 7, 2002	 President. George W, Bush	N / A	N / A	 Judge, 160th District Court, State of Texas (1994-2002)	N / A	N / A
173	75	 David C. Norton	N / A	N / A	N / A	N / A	N / A	N / A	N / A
249	76	 David Folsom	 April 14, 1995	 President William J. Clinton	N / A	N / A	N / A	 Associate, Young & Patton (1974-1976); Partner, Young, Patton & Folsom (1976-1990), Sole Practitioner (1996-1995)	 American Association for Justice; Arkansas Bar Association; Arkansas Trial Lawyers Association; Northeast Texas Bar Association; Southwest Arkansas Bar Association; State Bar of Texas; Texarkana Bar Association; Texas Trial Lawyers Association
313	77	 David Hittner	N / A	N / A	N / A	N / A	N / A	N / A	N / A
366	78	 David Nuffer	 May 1, 1995	N / A	N / A	N / A	N / A	 Law Clerk, Howard, Lewis & Peterson (1976-1978); Law	N / A
195	79	 David R. Duncan	 May 2006	N / A	N / A	 Regional Assistant U.S. Trustee, Region 4, Executive dfiiee	N / A	N / A	N / A
242	80	 David S.	 November 24, 1980	N / A	N / A	 Clerk of Court, United States Bankruptcy Court for the	N / A	 Private Practice (1972-1973), Private Practice (1976-1980)	 Memphis Bar Association; National Conference of Bankruptcy Judges; Shelby County Bar Association; ‘Tennessee Bar Association :
